ObservedAt:	2006-08-21T03:35:53
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_20.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          215.19          552.16          2.3700          2.2187          2.2943          452.81         5266.84         5566.23         5462.98
          980.52          892.95          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          585.91          359.91          2.6322          2.6019          2.6170          445.81        21671.78        22614.30        22920.03
          351.69          972.50          4.1541          0.0000          2.0770          463.27          790.42          885.24          737.18
          220.19          717.19          2.8043          2.7057          2.7550          450.91        22693.08        24138.85        24534.71
          432.10          891.22          3.1939          2.5332          2.8636          448.32         2653.58         2971.19         3082.35
          540.59          565.85          2.6812          2.2486          2.4649          442.77        16974.38        17687.93        18020.09
          961.56           32.59          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          298.71          733.64          2.8691          2.6153          2.7422          450.76        19779.42        21117.40        21688.16
          678.51          191.49          2.6221          3.0527          2.8374          459.33        10515.68        11507.10        11962.49
          275.24          615.45          2.5863          2.5154          2.5509          449.68        16693.67        17711.23        17978.11
          707.04          889.55          3.3092          3.2448          3.2770          453.18        24690.58        27072.68        27813.13
          356.97           49.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          484.99          730.49          2.6096          2.2329          2.4212          446.96        17683.26        18708.88        18968.17
          594.07          366.47          2.5621          2.8824          2.7223          445.78        13307.96        14746.59        15627.73
          366.23          999.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          924.41           68.19          6.9239          5.6152          6.2696            0.00            0.00            0.00            0.00
          651.05          720.58          2.9143          1.3127          2.1135          449.76         4410.83         4638.23         4698.87
          392.32          493.10          2.3348          2.7952          2.5650          445.19        13608.89        14544.75        15155.61
          231.24          634.33          2.6563          3.4981          3.0772          454.13        16520.24        17552.07        19774.61
          532.31          525.95          2.3747          2.5092          2.4420          440.58        18619.45        19182.67        19390.19
          112.19          323.95          3.4855          3.1130          3.2992          451.87        15724.95        17070.76        17399.01
          595.78          749.43          2.5079          2.8357          2.6718          444.34        18740.09        19794.43        20175.38
          457.03          404.47          2.5008          2.3620          2.4314          450.07        18654.18        19340.36        19499.78
          868.24          102.03          3.8368          4.3921          4.1144          489.42         3917.02         4535.80         4815.66
          880.80          565.82          3.5481          3.0955          3.3218          453.42        17093.45        18734.23        20268.81
          100.40          737.13          3.7675          2.9227          3.3451          450.84         5289.53         5937.33         6180.45
          581.91          446.39          2.4156          2.3401          2.3778          444.54        16402.96        16927.93        16960.07
          100.21          737.07          3.6149          2.9436          3.2793          450.84         5289.45         5937.21         6180.26
          804.79          117.37          3.2934          3.6157          3.4546          489.37        10680.37        11980.75        12255.29
          234.49           23.63          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          804.79          117.50          3.2908          3.6349          3.4628          489.37        10680.37        11980.75        12255.29
          161.09           60.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          704.41          736.09          2.8578          2.0079          2.4328          447.69         3732.19         4040.42         4037.57
          224.26          945.07          2.6984          2.6292          2.6638          460.86         2623.53         2853.56         2990.90
          478.48          590.33          0.0000          0.0000          0.0000          443.51          805.94          785.05          753.36
          702.89          270.33          2.7259          2.8903          2.8081          454.30        14850.01        15930.24        16348.60
          519.50          715.52          2.8468          2.2939          2.5704          445.32        14479.66        15466.87        15747.12
          987.27          831.79          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          879.24          431.50          3.4626          3.0273          3.2450          453.20        17032.44        18921.73            0.00
          817.11          269.61          3.3181          3.0647          3.1914          464.25        15026.77        16246.80        16667.52
          849.33          852.41          3.7162          3.8246          3.7704          460.30        15068.83        16676.30            0.00
           79.10          377.44          0.0000          0.0000          0.0000          447.92           56.38          -21.10         -169.00
          686.93          850.60          3.1189          3.1994          3.1591          449.50        12669.17        13700.86        13959.81
          517.32          230.09          0.0000          5.6200          2.8100          450.91          339.91          352.02          361.24
          273.49          457.52          3.0012          2.5669          2.7841          453.17        12165.20        13335.68        13623.80
          664.80          237.65          2.8844          2.9964          2.9404          453.97        12825.79            0.00            0.00
          583.61          470.07          2.4189          2.5233          2.4711          442.79        13149.61        13659.25        13834.49
          426.89          431.40          2.6691          2.6837          2.6764          448.79        15213.82        15920.79        16147.33
          771.46          330.33          3.0213          3.2290          3.1252          458.02        12184.50        13110.30        14004.11
          897.83          360.49          3.2649          2.7402          3.0026          465.99        12671.91        13830.81        14059.25
          322.56          690.89          2.4292          2.3863          2.4077          448.22        13503.62        14238.31        14414.36
          667.85          344.62          2.2515          2.3877          2.3196          448.18        10807.16        11281.30        11231.39
          277.31          101.16          3.8992          3.4841          3.6917          479.37        12698.90        14146.24        14970.30
          579.40          239.50          3.0682          2.7878          2.9280          450.56         8676.57         9191.87         9362.35
          661.39          104.70          3.1797          3.3315          3.2556          480.40         7708.55         8371.83         8743.79
          334.66          902.35          0.0000          0.0000          0.0000          456.61          191.84           29.21         -120.69
          825.47          105.64          0.0000          0.0000          0.0000          489.29           58.13           44.08         -129.16
          334.68          902.33          0.0000          0.0000          0.0000          456.61          191.84           29.21         -120.70
          874.37          490.02          3.3637          2.8181          3.0909          452.08        11905.16        12867.58        13184.29
          344.62          611.40          2.5570          2.2999          2.4284          449.56        13819.33        14496.18        14623.20
          769.74          832.12          3.3748          3.2692          3.3220          456.93         9751.69        10581.17        10827.09
          444.32          301.07          2.7648          2.7179          2.7414          454.12        13519.77        14182.13        14639.90
          354.49          605.56          3.2970          2.2312          2.7641          450.45        10013.84        10805.07        11215.45
          359.46          488.00          3.0849          3.7956          3.4403          451.20         3210.82            0.00            0.00
          556.85          271.49          2.5542          2.5116          2.5329          451.05        10158.43        10901.58        11257.85
          507.54          233.11          2.4894          2.8774          2.6834          451.71        11448.07        12208.37        12367.58
          466.99          488.62          2.6417          2.3310          2.4864          445.40        12396.42        12836.46        12873.43
          463.53          428.26          2.2464          2.6206          2.4335          448.83        12780.75        13392.57        13568.49
          730.33          741.82          3.9491          4.7895          4.3693          446.66          149.32          183.52          186.76
          729.95          663.25          0.0000          4.8835          2.4417          450.36          194.98          292.23          426.81
          324.75          509.08          2.6183          2.4831          2.5507          451.20         4417.34         4671.66         4771.67
          684.88          671.26          2.2442          5.1898          3.7170          451.36          273.32          305.29          290.74
          284.05          806.50          2.1644          2.3491          2.2567          450.38          637.06          724.47          741.09
          341.56          728.44          2.5492          2.5028          2.5260          450.78        11595.35        12301.92        12592.02
          359.43          715.73          2.6671          2.9360          2.8015          450.71        11068.18        11734.58        12219.87
          359.42          716.33          2.6667          2.7481          2.7074          450.71        11068.18        11734.58        12219.87
          941.56          514.93          3.3550          3.2933          3.3242          461.02         7779.49         8591.80         8827.58
          359.52          716.14          2.5913          2.7947          2.6930          450.71        10882.32        11768.49        12113.28
          807.34          632.48          0.0000          0.0000          0.0000          458.20         -108.79         -144.64         -307.07
          233.35           93.16          0.0000          0.0000          0.0000          507.95         -308.32         -275.76            0.00
          820.00          511.83          2.9015          2.4909          2.6962          452.24         6237.30         6610.14         6486.11
          246.52          847.50          3.8620          1.8933          2.8777          453.57          374.65          408.85          441.32
          276.55          734.58          2.9569          2.6327          2.7948          450.71        10069.64        10907.86        11156.00
          837.77          847.29          3.4965          3.5080          3.5022          460.25        10141.07        11177.17            0.00
          165.53          837.33          2.7657          4.1775          3.4716          453.57         2616.35         2944.07         3205.16
          606.03          467.98          2.4885          2.6481          2.5683          442.77        11550.29        12041.15        12254.42
          239.50          785.62          3.2509          2.7850          3.0179          452.96        10891.16        11777.61        12006.47
          989.95          296.07          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          429.20          544.73          3.0489          4.3596          3.7043          443.88         6029.12         6521.59         7055.13
          388.21          935.22          4.9577          2.4259          3.6918          453.32          705.93          753.81          763.04
          480.95          712.51          2.7635          2.8451          2.8043          446.97        10531.77        11057.29        11058.99
          306.35          735.58          3.5071          2.9549          3.2310          450.88         2218.87         2465.44         2544.65
          363.93          185.17          3.6764          0.0000          1.8382          459.75          121.82           92.42            6.41
          761.94          724.94          3.3747          2.7488          3.0618          449.48         8716.39         9361.32         9605.64
          306.68          735.79          2.9180          3.5517          3.2348          450.88         2280.61         2379.57         2478.03
           70.07          480.55          3.9688          3.5464          3.7576          444.47         7332.44         8182.45         8689.32
          334.71          940.85          3.3126          4.1422          3.7274          460.05         2169.49         2307.40            0.00
          334.72          940.79          3.3199          4.1351          3.7275          460.05         2169.49         2307.40            0.00
          347.42           34.01          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          431.74          133.50          3.5884          3.8593          3.7238          463.08         7479.17         8664.98         9325.05
          316.10          742.61          2.4524          2.8163          2.6343          451.06         9804.15        10416.45        10520.41
           22.02          177.65          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          438.36          545.42          2.1860          2.0258          2.1059          443.88         8744.23         9161.79         9229.67
          399.17          186.51          3.0375          6.4437          4.7406          456.75         5172.15         6560.75        11118.20
          203.93          408.88          0.0000          0.0000          0.0000          455.77          -73.54         -218.85         -197.58
          885.41          645.08          3.4719          3.0364          3.2542          455.62         9086.51         9995.95        10429.57
          112.47          812.63          3.3640          3.2630          3.3135          452.56         8518.70         9281.19         9354.32
          942.06          343.50          6.4041          7.2681          6.8361            0.00            0.00            0.00            0.00
          685.07          468.71         11.0766          0.0000          5.5383          449.46          -52.83           19.32           67.50
          895.94          850.85          3.9037          3.8154          3.8596          463.93         8627.76         9955.97        10371.92
          911.06          154.30          3.2849          3.1019          3.1934          487.70         6724.58         7289.21         7174.30
          621.35          138.44          3.0419          3.0180          3.0300          463.60         6677.93         7312.68         7450.66
          571.95           94.12          2.4977          3.1871          2.8424          491.64         8337.42         9060.49         9353.11
          223.95          598.44          2.6064          2.5691          2.5878          453.89         8425.37         8980.52         9246.64
          860.31          827.11          3.7162          3.1561          3.4361          456.91         7012.82         7875.74         8266.43
          530.25          719.79          2.9552          2.4779          2.7166          445.34         5900.85         6130.80         6095.10
          995.04           17.77          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          297.06          393.04          0.0000         13.2492          6.6246          454.56          -84.63         -174.16         -274.48
           18.18          480.73          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          170.63          222.42          4.3616          3.4151          3.8883          461.71         6568.96         7716.51         8276.15
          855.57          564.49          2.8952          2.4149          2.6550          453.28         3962.02         4228.15            0.00
          533.85          539.50          2.3612          2.8522          2.6067          440.59         6051.74         6397.62         6315.57
          399.17          187.01          3.0375          7.0282          5.0329          456.75         5172.15         6560.75        11123.88
          806.91          648.92          3.1243          2.6784          2.9014          455.50         7815.84         8264.37         8257.12
          414.52          663.39          2.6390          2.7312          2.6851          445.83         6199.43         6624.65         6818.99
           34.84          397.54          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          471.86          677.51          2.2010          2.7122          2.4566          444.82         7520.17         7833.82         7849.98
          595.26          440.99         10.2929          0.0000          5.1465          444.98            2.54          116.86          364.93
          813.57          988.34          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          531.06          320.63          2.8363          2.8704          2.8533          447.81         3835.16         3949.27         4163.80
          392.89          736.75          2.7250          2.5821          2.6536          447.16         6232.14         6617.65         6677.47
          700.49          620.54          2.1477          2.7242          2.4360          446.02         6742.68         7119.02         7361.17
