Star#,2021-03-01,2021-03-02,2021-03-11,2021-03-12,2021-03-18,2021-03-19,2021-03-27,2021-03-30,2021-03-31,2021-04-20,2021-05-04,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-13,2021-05-31,2021-06-04,2021-06-05,2021-06-08,2021-06-10,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-21,2021-06-30,2021-07-02,2021-07-11,2021-07-16,2021-07-17,2021-07-18,2021-07-24,2021-07-25,2021-08-01,2021-08-02,2021-08-09,2021-08-11,2021-08-13,2021-08-15,2021-08-21,2021-08-31,2021-09-01,2021-09-04,2021-09-06,2021-09-07,2021-09-16,2021-09-18,2021-09-19,2021-09-22,2021-09-26,2021-09-27,2021-09-28
225,20618.2848655,20438.1281082,20775.7402054,20596.0571185,20721.6334903,20656.1342279,20207.7577212,20055.8853333,19733.5567569,20544.3740237,20943.2845084,20325.6210782,20437.19979,21047.6559215,21242.4938593,20848.1506841,20617.9340393,20544.2565159,20499.7515298,20646.0689815,20732.7007431,20670.3154988,20792.7812557,21088.6984778,20635.4888997,20512.0301266,20636.5996201,20557.2741357,20663.8505697,20289.5696506,20375.1347676,20580.4281536,20491.6083993,20403.7530312,20536.1649832,20547.0768151,20494.7268294,20545.1860625,20438.5318352,20417.1994374,20429.4776175,20437.5236403,20642.9856857,20574.2538846,20317.1326052,20473.1351331,20454.2436598,20527.1612032,20591.6303078,20467.2704602,20189.8324732,20076.6921733,20066.6499739
226,21115.1895454,20990.9848793,20847.3836056,20651.0318913,20873.5882613,20763.7259166,20733.7336996,20671.025994,20779.2106269,20660.4956772,20885.4103357,20731.9341135,20414.9225132,20722.3677379,0.0,20982.8668139,20611.0860547,0.0,0.0,0.0,20659.4912795,20537.6596602,20631.4213397,0.0,0.0,0.0,20663.8734157,20674.7572314,20735.4870964,20824.2791908,20844.6547215,20976.2354988,21015.9793339,0.0,0.0,0.0,20700.1853876,0.0,20742.8823424,20745.8246292,21034.6169039,0.0,20751.3495412,20762.1369739,20695.1342709,20316.5767438,21057.9206959,21001.3839603,21201.6746654,20742.6361893,20500.2258258,20284.0009511,20548.238891
227,21060.1518893,21143.5669804,21035.6622092,21007.0800839,21133.537784,21090.2436956,21009.9113927,20956.9317142,21024.452755,21021.3480694,21291.9719359,21234.7662133,21223.4744866,21187.0605642,21086.3945403,21248.5276425,21136.692315,21222.309868,21090.3171898,21081.5723558,21250.5951745,21212.8121002,21473.8702317,21248.9978285,21114.8329799,21175.319193,21057.9284081,21103.9691665,21202.3185284,21088.8013701,21144.0857833,21118.609798,21081.0411121,21047.4001249,21116.8923023,21049.2178237,21010.0806138,21183.9113223,21172.9515956,21228.9572437,21079.4581372,21011.8266758,21231.9522303,21196.7295448,21045.5756665,21193.6663011,21209.3347208,21242.3974485,21231.8377831,21168.2431811,21163.2447738,21193.3962006,21028.7452837
228,20528.8590797,20494.4773232,20426.706595,20213.8101106,20171.2178855,20195.6319073,20451.2018566,20359.2839842,19656.8336308,20170.9898026,20133.8317442,20074.1989909,20359.2407335,20334.624445,20483.8299164,20228.5997477,20149.2597841,20243.8534769,20167.6503232,20204.265264,20098.0556117,20296.2386189,20337.387399,20263.8013455,20232.7969865,20314.1900334,20061.2700324,19990.0123041,20215.5312182,20179.0444637,20214.7925846,20200.4396303,20259.9220854,20038.0385338,20130.0234078,20065.5880901,20120.0179412,20215.320694,19993.1761713,20240.6441756,20404.4368423,20064.2250216,19943.7112947,20160.7815676,20004.2766742,20218.6186685,20409.6977035,20301.2753008,20467.9812692,20163.4920274,20141.9609023,20169.4193313,20013.2337821
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21061.271811,0.0,0.0,20834.2236646,20792.7069834,22071.4206337,22086.9170123,21379.4036741,21184.0843709,20771.0404205,20728.3315832,20888.6701444,21082.4146597,21208.6154578,21828.9867232,21853.015858,21102.6405933,0.0,20785.8817661,20817.1771386,21172.1167999,20619.1265643,20981.9879964,21149.4923745,21266.8485304,20745.5849757,0.0,20568.5029932,20832.8614816,0.0,21414.6677905,21341.4463005,21597.0618962,0.0,21218.5225208,21478.3681081,20891.8166101,0.0,21092.0805237,21262.3889445,0.0,21182.1990893,0.0,0.0,0.0
230,20103.0285747,19926.7083536,19960.8987314,19675.4304215,19688.0088695,19666.1653768,19870.8512041,19822.0248708,19749.5407246,19665.1163625,19734.9556252,19495.2858115,19667.3694961,19843.890869,19788.7691175,19844.4945417,19569.3479576,19642.9974837,19539.8731971,19562.6990641,19499.0610798,19648.6657856,19675.0899352,19599.5455361,19606.591771,19974.6273825,19537.5633099,19712.6338277,19704.1025217,19768.7121085,19754.5129864,19601.1468685,19633.3137455,19530.4375052,19561.8912431,19530.8681497,19592.190907,19639.6659939,19603.8167735,19632.0045613,19723.3867912,19418.6136417,19508.8834038,19659.2049529,19570.8540048,19525.5215146,19745.9994579,19739.6732516,19650.495277,19650.6577233,19472.7775936,19366.2783015,19347.2348464
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20668.7444936,0.0,0.0,20021.8434574,19855.8243652,19845.8052182,0.0,20030.7384486,0.0,20227.9648291,20439.5405759,0.0,0.0,0.0,20306.9863661,0.0,0.0,0.0,0.0,20479.9422723,0.0,0.0,0.0,0.0,0.0,20133.4600556,0.0,20415.902636,0.0,20053.8407886,20200.9516258,20060.9572282,0.0,20287.3394089,0.0,0.0,0.0,0.0,0.0,0.0
232,22608.687806,22084.0688101,21815.395104,21142.082225,20910.7824273,20978.6242831,22056.06465,21880.6870446,21467.4197866,21218.8583128,21588.9270276,21306.5537211,21529.8331964,21860.5785014,21676.0721783,21682.2607884,21060.8367855,21070.3401925,21003.1850683,21343.5732876,0.0,21207.26379,0.0,21357.6708624,20823.9310279,21576.8802089,21073.5898698,0.0,21131.9747277,21904.2000098,21814.0234003,22329.1211677,0.0,20763.7936093,20430.5517265,20491.9028191,20809.1367794,20954.3690874,0.0,21085.5740627,0.0,20159.7848094,0.0,0.0,0.0,20992.9809896,0.0,20901.709948,20976.1756492,20700.3005115,20807.3025598,21068.1950034,20596.5703484
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19876.0274865,0.0,20401.8752188,0.0,0.0,0.0,0.0,20037.945116,0.0,0.0,0.0,0.0,20443.0267573,0.0,0.0,0.0,0.0,0.0,20035.8211556,0.0,19958.3323447,0.0,21184.1444775,20749.7135904,20243.5216311,0.0,19481.7173386,0.0,0.0,0.0,0.0,0.0,0.0
234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
235,20392.9459146,20343.6012868,20175.7174093,20101.8072793,20285.7018114,20149.7273185,20127.6445135,20118.476059,20620.9456362,20017.6020076,20234.8619194,20185.3115485,20187.9888425,20048.029245,0.0,20292.9658866,20175.6182707,20173.8229538,20107.1796192,20069.7672634,20236.2307863,20063.3247749,20113.7081356,0.0,20017.7541271,20316.2867655,20105.5692336,20240.3634438,20306.862096,20358.0046045,20263.8794953,20235.3380991,20450.9764274,0.0,0.0,0.0,20233.4076899,0.0,20330.8624642,20293.3856601,20504.2947753,0.0,20313.5185389,20288.401698,20342.6683883,20200.6311423,20568.3891426,20476.7447814,20632.8964001,20317.8241782,20303.3920182,20085.8470458,20215.5106608
236,22027.6886733,21929.8922205,21819.6842597,21757.3455563,21827.3725954,21751.8072768,21667.6829968,21664.7543115,21749.3928443,21657.1556545,22016.1632868,21846.8762193,21962.0526472,21910.7463291,21809.7016109,21948.9485314,21765.365047,21799.3090356,21668.8776437,21715.9134482,21788.1785968,21815.4875284,22067.9114426,21921.5483311,21781.0380116,21806.3566493,21660.2485608,21741.1660536,21844.9993796,21674.1487286,21713.9174802,21670.440302,21855.4192278,21647.9126565,21786.5035564,21660.8873425,21774.7108146,21870.7458353,21748.2524098,21861.0928813,21855.073344,21701.9644134,21899.1845997,21829.4749246,21715.1746781,21846.0258884,21931.2757404,21826.7274415,21915.1028273,21791.3043249,21758.2522414,21849.5436933,21678.4633986
237,20512.8648207,20323.2074873,20125.6644769,20045.4275632,19936.8978989,19951.7140864,20264.0648279,20293.4756336,19865.8037267,19905.507803,20135.9503822,19927.6509859,20135.5807154,20099.4308007,20029.936621,19908.6365424,19928.6005395,20035.9256002,19961.3149185,19986.7841903,20041.6837356,20098.7446664,20147.184754,19976.2022402,20062.2556265,20159.4713767,20039.809654,20171.2434989,20165.547351,20291.9453897,20276.0132449,20406.2794073,20758.9959606,20154.6967764,19966.9693593,19935.2097529,20021.1939911,20064.2669694,20022.7465242,20227.8027301,20380.6431321,19873.6946985,19955.4693166,20083.4908676,20026.7745071,20244.5573239,20520.0504523,20399.7380358,20651.2081965,20053.0960084,19803.9021326,20102.8985857,19878.341177
238,20350.5204324,20168.2017555,20114.2841572,20006.7878653,20029.1884547,20143.2783441,19855.6816667,19888.2776113,19980.3653449,19865.0805452,20165.1659058,19947.1181203,20235.3151773,20495.956521,20443.3631509,20533.4849495,20082.7645946,20058.2294469,19865.5736359,19950.0230866,20055.782792,20128.4779109,20416.9769382,20541.2850973,20029.0697158,20333.0147729,19851.7641095,19871.5129729,20157.7275058,19819.7843007,19919.6404505,19910.7326598,19918.6982636,19791.9901048,20039.9989518,19970.1039171,19971.6044776,20214.1465116,20108.2487551,20169.5818735,20199.428979,19905.4726335,20166.6083624,20178.0036678,19920.3390955,20195.5238793,20249.2379277,20096.0210265,20105.9262199,20201.4472971,20003.0653599,20018.8447446,20001.1059263
239,19612.1906682,19844.4424777,19506.8222413,19586.9964446,19780.7346434,19193.0656977,19753.5772628,19649.3263816,19649.6314705,19501.1082561,19704.0491732,19775.6325315,19913.1395409,19395.7095735,19418.1410604,19275.9906533,19527.6472893,19703.0339939,19834.2032815,19677.4724492,19495.4768577,19658.1430314,19939.3564876,19321.503296,19719.3641721,19248.5468359,19560.1015434,19696.6631691,19739.2003007,19772.7598871,19754.0848521,19643.4022296,19885.0914452,19584.2592326,19823.3211943,19576.7810369,20137.727398,19965.6278969,20083.9603782,19782.1697504,20073.6263072,19886.1133807,19884.7283935,19971.5650102,19848.8502364,19806.8989163,19991.4408087,19839.6009416,19937.1718811,19730.9166707,19697.4451077,19732.9704785,19800.9877888
240,21398.2769591,20860.1106988,20702.7976176,20187.9013623,20529.9202194,20397.3647742,20271.1038198,20075.2991635,20620.1057315,20076.850745,20290.8184603,19829.5118607,20478.0403292,20744.0649914,20637.6470745,21107.8310699,20126.3538846,19911.5112037,19632.4332415,19693.9032252,20021.576434,20073.5806918,20490.8384264,20445.9645594,19937.1531619,20844.0416569,19885.4560865,20627.4359601,20211.9470512,20546.7634497,20268.263662,20757.3702461,20705.5730714,20323.8583574,19858.2877999,19832.3217246,19861.8067038,20107.0051904,19973.2037598,20122.664247,20289.6955914,19656.1260642,20052.3503705,20150.6476367,19935.8634673,20113.4281347,20424.2310988,20466.0986386,20658.8914539,20292.3596058,19831.3415578,20012.9938037,19577.8238842
241,19108.0988803,18866.6220025,18917.167781,18681.1814626,18538.651549,18695.4015611,18645.3425305,18660.9136999,18382.5768399,18583.8716743,18919.2878163,18660.4077325,18930.6138004,19171.4763144,19141.879718,19035.0759551,18822.4317481,18775.1860302,18673.4058237,18748.6536668,18720.6031418,18902.0654741,18958.0996199,19075.2190913,18838.3858896,19202.0657615,18617.9753214,18672.7745417,18917.8424274,18472.1576396,18764.3210264,18592.0060435,18686.0260383,18440.6366576,18829.8713562,18609.5209485,18663.3571666,18885.6715213,18801.1200002,19080.8530065,18822.4163775,18568.4311323,18820.7328526,18894.1932151,18749.2818207,18719.9010891,19101.5524341,18942.1658572,18937.5564023,19079.0885977,18647.1784266,18775.6940666,18667.5461437
242,20426.0511239,20302.3331675,20394.5882596,20140.4952799,20066.1351832,20238.8983427,20204.9570804,20118.6091906,21072.1872666,19961.0117655,20368.107069,20281.1074105,20302.3170289,20613.5737882,20457.6818236,20480.9546777,20287.336219,20162.4621111,20026.0231164,20149.2914292,20234.2451745,20233.9597374,20524.5061565,20491.1745095,20200.2701568,20878.3382196,20073.386893,20138.8405386,20354.6750582,20192.7675839,20247.0991829,20316.0217938,20541.893318,20147.8415208,20245.2190687,20072.4340162,20180.5681504,20332.5436973,20338.7549698,20410.5901396,20590.0910891,20108.9991713,20446.499218,20403.3752682,20219.5503948,20253.2936437,20563.1756743,20443.4252302,20504.5970967,20431.5418488,20127.5340021,19950.3167254,20096.3644468
243,19363.1531596,19299.8640216,19160.9963673,19011.6389604,19204.2325503,19047.9114477,19109.5339952,19169.0780937,19427.5890581,18934.9390717,19249.7452039,19301.7884984,19446.4360456,19177.0333171,19121.6210146,19200.3830865,19121.53173,19167.3540282,19042.0013654,19018.3396931,19175.4319906,19084.7520842,19276.6897271,19166.8007815,19059.770583,19302.0582727,18973.5772285,18946.7804319,19243.3339861,19062.6888144,19150.4254257,19076.3235536,19324.2441735,18937.9852804,19151.75421,18956.6202465,19144.7780978,19253.1176061,19283.3951819,19320.9875366,19497.0968487,19105.3874546,19233.3304829,19367.5253038,19176.4757842,19297.3141652,19528.8852839,19299.4357342,19506.427546,19290.2467392,19165.6140707,19174.8943088,19252.2488354
244,19522.8523904,19462.5558665,19355.4593097,19324.5378125,19517.4843222,19374.325564,19273.532411,19303.2090529,19489.4177109,19245.3396596,19479.677239,19487.3801581,19513.4114364,19392.6943591,19315.8650141,19480.1810494,19401.9533256,19452.7397261,19393.1736148,19370.4043843,19472.0718799,19472.7652163,19577.297404,19447.4350472,19391.9571812,19515.0112453,19328.8609936,19434.8586596,19500.7226143,19245.7348379,19336.067208,19316.0162904,19372.5302099,19213.3036519,19465.2562181,19421.3327587,19380.9626596,19551.8603272,19447.7612353,19467.364947,19514.4102698,19341.445768,19557.0220951,19512.2790363,19356.9703565,19471.8167827,19533.5578296,19477.8500302,19541.3518833,19444.8353789,19400.2982883,19369.4989814,19400.3704082
245,18631.3530163,18193.6684372,17575.2914936,17405.2323111,18524.6168053,17660.5796784,17782.5283845,17712.1498703,17182.9879587,17550.1245847,16520.9473249,15901.8963418,16057.1708459,15958.7789697,15775.7172332,16124.5539895,18873.6261948,18442.3688587,18163.4523807,17648.4455356,17669.733464,17384.0882699,17489.9340265,16984.5528405,16895.0780207,16740.003554,17439.2802745,18473.9421207,18404.9296116,18524.1841489,18334.8476277,18778.2501981,18761.7846812,18109.635988,17766.0238994,18182.2600084,18293.7104017,18377.2354298,18388.3780286,18131.2569677,17600.3108317,17212.8841475,18406.0240044,18413.1467924,18650.2264553,18930.5776639,19630.1808416,19245.8322935,19307.7375377,18642.0870642,17516.1857134,17527.996667,17044.6267398
246,20276.1773287,19674.6020802,19101.2665017,18875.4576475,19672.9866133,19426.153257,19117.9115568,18830.8147991,18523.4713845,18942.0338558,19294.5136051,18995.7536498,19426.3135474,19269.72749,19007.2293169,19145.7269958,18681.05641,18794.259298,18700.9779934,19059.8171159,19383.587616,19243.3934633,19441.317252,19169.8141802,18918.4168235,18831.6745519,18343.1226399,19359.0096364,19414.243355,19265.3301625,19097.6155953,19491.1733397,19936.9811456,19556.3601413,19068.7483766,18969.288411,18924.8567629,19067.3079489,18953.5751708,19024.2927821,19141.5219723,18822.3713712,19351.0138829,19156.1586871,19198.3982468,19172.3185837,19062.0507546,18917.3214393,19038.2912142,18725.6010994,18923.7567673,19051.3096164,18637.1361526
247,19350.1325226,19194.643094,19015.2012767,18810.2860342,18998.5035288,18777.3303599,19008.5423173,18916.1624214,18926.6715739,18789.0365991,19050.5823104,18846.2714842,19072.9882447,19104.1844942,18924.6008081,19041.7667669,18811.0312767,18766.076289,18733.5488895,18698.2527571,18819.3258735,18685.302877,19117.4147333,18775.9329854,18661.1186707,19076.0436906,18967.8906258,19614.7785365,18996.5635376,19352.9969379,19185.6381315,19594.4608802,19662.6277823,19202.2998064,18768.9260782,18868.0795735,18959.589687,18870.6498304,19013.057073,19001.0208878,19473.5244101,18567.4613557,18973.2164587,19081.2851608,19126.912807,18838.738974,19390.8002091,19428.3462109,19339.9534184,18999.0251785,18635.4295533,18712.83755,18609.7700393
248,20013.3587083,19561.5739949,19241.6440691,18957.542984,19158.6994142,19087.7403528,19191.4678993,19024.535554,18303.3566521,18739.8860838,18950.8509673,18650.3617003,19114.5818622,19321.0444632,19237.683923,19271.3613214,18949.2464138,18997.8597742,18945.1072258,18875.5572459,19004.6705832,18998.9160556,19192.8396373,19060.7328385,18920.1754503,18889.1213606,18464.3085825,19216.6738439,19097.3078583,19482.7561351,19351.1145622,19748.0713036,19709.4654992,19359.5199808,18849.2092552,18814.6041439,18850.3965263,18696.2455149,18661.9698855,18995.2589662,19494.1617207,18693.1206793,19046.4365582,19159.0886299,19000.2086494,19051.4897555,19632.4873465,19466.1439607,19770.0984811,19047.5279692,18915.6773235,19251.9404237,18809.8316269
249,19618.5595986,19108.8644996,19051.7933355,18610.8090901,18659.213193,18552.5377824,18794.8366338,18858.2740643,18688.6845689,18542.2928415,18767.7079383,18720.22531,18886.070398,19210.284763,19140.6681244,19047.1509387,18758.6061221,18598.3083517,18479.9922767,18573.4267914,18755.3866447,18841.4489647,19035.8586833,19037.2968538,18669.0686812,19287.7650791,18532.5960484,19048.8501007,18762.0129829,19320.5519196,19078.7613371,19627.0400225,19386.0290346,19098.1012234,18585.0979836,18528.1927224,18595.5795702,18689.3036887,18833.512039,18963.5025183,19277.1985977,18507.0675351,18706.1573493,18986.7068882,18654.4181161,18982.5719933,19279.7231508,19337.7249484,19450.60383,18951.2121795,18801.943328,18857.9557715,18456.3194819
250,19437.6168132,19518.4585535,19261.590608,19164.876548,19174.1429928,19162.1838992,19292.1566596,19270.3220941,19245.2381674,19054.242079,19194.8145219,19222.9643428,19095.7733489,19074.9554759,18902.7931241,19420.1177016,19120.1436703,19112.5311581,19099.0996093,19099.2981234,19197.8567829,19023.0161186,19287.4980435,18941.145248,19043.3736156,19270.1410958,19193.113884,19226.1570102,19286.9129108,19206.1456599,19188.6580949,19064.1650814,19151.8314563,19169.1418686,19051.5629445,19197.7575867,18970.0380197,19065.8011866,19082.7758613,19220.6604407,19176.8225893,19081.5630111,19197.8903972,19198.9251579,19074.6940282,19343.5722668,19239.3118574,19341.5784149,19251.8638698,19115.9868263,19038.3289683,19055.211625,19013.9938269
251,18696.5232442,18638.5648252,18468.9251269,18307.9802476,18564.594799,18439.2127567,18266.87837,18244.1160649,18351.1964369,18319.294647,18514.7958714,18396.6516115,18491.7921949,18575.3856576,18449.7396579,18650.3469503,18429.9489079,18422.3216056,18278.0192121,18331.153842,18519.1465717,18460.8844407,18722.7909103,18567.4732195,18351.7239612,18293.9498815,18258.0697421,18349.9610187,18447.6516707,18305.0948622,18373.1880011,18394.5263335,18395.7108377,18249.0221877,18368.5033268,18276.8435499,18246.1477162,18467.0995486,18416.9002017,18486.0275085,18426.3455098,18274.062823,18516.7330911,18510.1018162,18321.6933458,18412.998003,18451.7875081,18468.5071101,18514.3718781,18461.1728879,18365.4311726,18379.6460792,18273.0787625
252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
253,0.0,0.0,0.0,18176.1959182,18145.8552397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17933.6527641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18380.1797957,0.0,0.0,0.0,0.0,0.0,18077.4397283,0.0,18326.7545553,0.0,17944.5789781,18048.9217093,18126.4723468,0.0,18248.4013176,18468.8181395,0.0,0.0,0.0,0.0,0.0
254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
255,23052.5216658,22403.1924772,21826.3637968,21452.5721928,21989.8466883,21171.8399993,20469.2254595,20010.9858039,18794.026138,19744.024741,18889.3809271,18188.6395732,18374.2860186,17708.9515116,17413.4661404,17456.6423315,15774.9404135,15574.3719194,15360.713054,15250.0193644,15469.0300297,15363.866539,15480.130334,15060.5344695,14957.0866167,14637.4650385,14638.1671358,15646.9812132,16060.6661896,16397.4452737,16174.39287,16691.6771151,16415.6970365,15883.2170034,14958.7757742,15319.3329033,14272.4246573,14232.7807465,14277.4215831,14050.6461325,14047.2687709,12726.7311405,13568.6155249,12905.7630127,12927.2298975,12959.9555871,13932.6310446,14223.772936,14439.8331666,14644.1069958,14570.0931432,14747.2774736,14548.7183065
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
257,18143.803062,17918.2446376,17712.7860178,17547.6891448,17725.8923394,17550.0496239,17745.2031988,17799.3102651,17613.8178492,17584.3960888,17684.9524241,17521.439137,17803.8584878,17716.26871,17623.5045505,17674.0866607,17584.4872218,17620.5403921,17552.8866494,17573.0922538,17693.9722464,17589.0017546,17653.5091313,17508.2839183,17608.5029666,17683.5747993,17580.7045884,17945.8264666,17738.6153729,17949.0031729,17848.3285936,17992.8164021,18132.7842011,17789.5783565,17605.5566708,17621.6514938,17713.0566376,17748.5248719,17714.8917913,17716.3574383,18088.6243192,17566.4421166,17652.6740008,17693.1955218,17814.1040565,17709.5739759,18111.0597213,18005.414662,18107.7891501,17770.07692,17569.1499334,17619.4557349,17469.3738565
258,19660.6659961,18993.7532761,19149.1718901,18416.8359838,18761.5094407,18564.3528321,18852.2247134,18657.7316394,18313.5719903,18356.5483437,18845.1437769,18388.7926284,18663.2895935,19218.8325902,19201.6308694,19172.5673774,18587.2721519,18699.4850176,18472.8155814,18561.6370863,18824.4818699,18772.5141453,0.0,19236.0186294,18682.2087788,19242.7613475,18338.1682103,18979.8775935,18757.4749754,18858.7196334,18728.8687161,19249.3420675,0.0,18927.5113092,18469.5515682,18401.2569138,18246.2041453,18525.0505803,0.0,18681.0982796,0.0,18275.6694471,0.0,0.0,0.0,18783.48412,18757.572171,18733.1676794,18783.7618568,18548.5127337,18306.8907517,18553.605838,18024.1210672
259,18447.1202593,18373.9013776,18222.3068065,18126.5575235,18328.1057067,18051.5498533,18146.3811252,18244.0640537,18416.4765835,18017.6965928,18309.8841388,18314.2973071,18358.6528159,18342.9400833,18157.5556769,18260.6321629,18190.4478228,18169.83446,18142.0784577,18123.6117414,18160.4068021,18168.7455537,18389.9314674,18154.7853204,18125.5228803,18517.6612539,18062.026528,18229.1339077,18282.8499033,18374.0303265,18421.8851555,18499.004363,18500.9389196,18200.7409037,18198.5085591,18071.7369166,18122.5957832,18275.1836525,18322.1442766,18299.7025883,18448.2631476,18093.8234583,18326.8724859,18336.8731665,18051.7075059,18312.2313207,18507.8798926,18364.0198177,18513.463179,18314.7190795,18059.5531696,18100.1498927,18077.917001
260,18953.5547744,19042.6578472,18867.2199392,18608.6925638,18716.252038,18742.3628554,18802.224313,18651.2089071,18827.9930146,18674.0858189,18762.0912108,18461.4259772,18462.7956242,18558.8080954,0.0,18664.8803315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18559.6304522,18527.6830582,18669.9111503,18662.5623702,18685.0529183,18635.8746768,18728.6260864,18782.5669901,0.0,0.0,0.0,0.0,0.0,18555.3133758,18577.8318505,18682.0087314,0.0,18609.2613212,18567.9120737,18563.1131005,0.0,18813.6359592,18603.8250214,18814.6378306,18478.3200343,18516.7324779,0.0,18602.0755317
261,18517.9309751,18227.197646,18325.2797937,17841.459671,17726.6457245,17919.91931,18053.6440209,17871.7006223,18175.1792121,17768.1122307,18080.9881812,17759.2426199,17813.7543908,18492.169953,18494.7884233,18503.4569628,17894.9691366,17680.490055,17554.8274823,17677.3823691,17967.4869932,17782.4702337,0.0,18203.6214248,17755.6315816,18532.7321129,17828.6758693,18534.2548422,17977.6476518,18321.7484631,18099.9030302,18794.5280464,0.0,18275.8203214,17632.5062478,17673.4287776,17733.6220088,17792.8117626,0.0,17954.6037352,0.0,17595.7837916,0.0,0.0,0.0,17691.7238903,17841.3284861,18025.0128511,17934.2880322,17838.8349415,17532.7242763,17665.7004171,17505.1521639
262,17748.0834698,17780.429745,17666.154914,17671.3194333,17875.0018975,17679.0662866,17648.9209662,17608.8390585,17889.9449059,17689.733581,17751.2654774,17747.9590301,17821.132177,17605.3730292,17598.0869164,17694.1456555,17684.176846,17761.7051943,17688.0848567,17658.4792792,17750.2829381,17720.7644452,17795.1735744,17723.3321881,17677.9403511,17598.9470194,17599.8155553,17716.2838726,17771.4576319,17692.9097742,17661.2010943,17544.1728942,17737.7946215,17611.0386582,17748.6889889,17699.6066309,17726.0337581,17750.2223929,17704.3336155,17750.0587567,17759.7177646,17618.4284562,17790.6078281,17729.6611176,17727.1385589,17813.8367367,17821.7346312,17689.1613702,17858.9413758,17715.4220252,17756.3825896,17789.4329905,17780.7113735
263,18242.1129661,17989.5172483,17947.205106,17700.4322807,17889.1525627,17773.734055,17780.9737249,17809.0509857,17870.8510887,17674.1889719,17952.2512668,17909.1470632,17882.7499117,18202.4081591,18075.8984444,17956.4582139,17807.4386928,17735.5831941,17695.3742127,17724.6632427,17916.3710138,17786.7272803,18126.4827255,18091.7118503,17777.0565888,18055.9135626,17713.1828447,17675.9573583,17852.0886774,17750.1427531,17777.211938,17837.0222027,17932.4141926,17684.0656239,17804.4565581,17580.0246094,17707.6232942,17925.2629913,17933.2607199,17950.3348329,17830.9028142,17750.6046993,17875.0511599,18019.5389744,17645.4478647,17891.1860069,17914.4907238,17962.7323113,17957.1380865,17948.8277526,17777.2349699,17738.1840267,17773.0142376
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,15894.6072649,15774.7896281,15603.8205417,15456.5165351,15571.5555662,15509.7887439,15538.3377881,15552.864189,15438.4427758,15429.2784074,15618.1362487,15453.1244642,15798.9164805,15670.7703684,15500.5643131,15702.3762444,15529.4986042,15571.2702352,15450.7825669,15408.8150557,15555.1847415,15759.8468689,15825.76664,15501.8556669,15570.1152121,15564.6502341,15435.6883622,15719.4004375,15668.0801885,15681.8878189,15648.2634445,15734.335434,15820.7284654,15504.3199488,15472.2205554,15477.0738116,15544.7248448,15735.1476003,15626.6916613,15605.7479479,15767.8756797,15415.4563738,15556.0891561,15658.9982219,15562.5517347,15620.7304179,15782.5490557,15759.1281419,15885.2685215,15626.0847579,15511.5204569,15573.7686729,15344.9784352
