Star#,2021-03-01,2021-03-02,2021-03-11,2021-03-12,2021-03-18,2021-03-19,2021-03-27,2021-03-30,2021-03-31,2021-04-20,2021-05-04,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-13,2021-05-31,2021-06-04,2021-06-05,2021-06-08,2021-06-10,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-21,2021-06-30,2021-07-02,2021-07-11,2021-07-16,2021-07-17,2021-07-18,2021-07-24,2021-07-25,2021-08-01,2021-08-02,2021-08-09,2021-08-11,2021-08-13,2021-08-15,2021-08-21,2021-08-31,2021-09-01,2021-09-04,2021-09-06,2021-09-07,2021-09-16,2021-09-18,2021-09-19,2021-09-22,2021-09-26,2021-09-27,2021-09-28
911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
912,3309.4703339,0.0,3147.9042202,0.0,3066.781853,2977.9828713,2946.3074604,2984.1203243,3230.3559795,3082.978688,2774.0906902,2769.8239088,2737.2903025,2993.5188747,3028.5621375,3135.2422326,3506.0580762,3300.6663633,3261.6518714,3180.5300626,3168.3813981,3090.3948206,3117.0756472,3074.9489294,2987.7816621,3111.1059519,3025.4129747,3171.9135363,3299.3226181,3390.2359468,3379.8546283,3454.2835375,3624.1246629,3441.6493749,3402.9521608,3481.10694,3345.2066989,3367.7974084,3451.1385721,3398.3231197,3358.685222,3080.1455224,3250.3296101,2952.4148588,2897.2743456,0.0,2934.6162143,3020.7745993,3088.5770027,3288.200707,3326.9051397,0.0,0.0
913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,2848.4396928,2861.5860395,2827.4409108,2890.8001909,2873.482464,2846.0951997,2876.2209271,2911.884047,2819.961187,2840.8997142,2880.6682652,2964.436766,2888.8740999,2828.897136,2805.4049813,2860.351233,2888.9821905,2928.8117346,2954.7059028,2925.7767521,2895.6924894,2879.8094998,2890.8543532,2820.9209181,2868.5000914,2761.4140634,2895.889831,2931.336191,2915.068977,2949.7813795,2915.0159696,2949.6994755,2988.3462519,2902.2218287,2896.8785719,2887.9205552,2925.1169485,2876.1281223,2964.4343334,2898.0288669,3036.2755874,2909.3478311,2943.0077835,2947.9215915,3023.895078,2906.4414469,2961.6443985,2989.56536,2897.5459913,2906.5897391,2951.6776536,2931.1853101,2935.4251628
916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0
