Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
359,10501.9384276,10479.8705122,10019.6672458,10063.6640648,10161.9559758,10285.9953072,9793.8677209,10175.7783326,9995.8795807,9860.9460275,10222.8199432,10311.7650017,10363.6697951,10340.88589,10173.1239751,10311.8560056,10283.5206529,10323.7181696,10372.1316071,10080.8676459,10085.7365871,10203.0363454,9696.3940733,10247.0599703,10259.4484647,10079.9318746,10301.0015266,10231.8103701,10360.0297227
360,10374.5600509,10356.0172663,10487.6044657,10472.9370731,10488.7620513,10854.6874317,10512.7119241,10633.8278312,10608.2425486,10652.8601251,10572.9472166,10568.2106174,10665.9069166,10678.5749965,10699.4438142,10659.5572886,10615.5427081,10736.1543527,10778.7941456,10675.6732323,10742.3673558,10721.7104164,10184.9195144,10770.2485281,10812.7598339,10396.8256336,10603.6917959,10592.00324,10500.9837428
361,9950.8656291,10309.8756739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10109.6407756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9592.704375,9751.9071181,9681.9688126,9975.2239798
362,9345.4342343,9282.1329641,9444.4621467,9274.3661072,9302.0214276,8941.627671,9250.3186497,9256.4733239,9154.6056993,9221.4126679,9203.7704669,9130.5498752,9126.4075493,9044.2016739,9108.0671714,9044.076343,9145.2083779,9105.079407,9165.5081686,9336.1212126,9118.0251937,9166.933364,9018.1449437,9436.7102903,9378.0766394,9429.7187777,9349.8766998,9303.4514273,9361.669598
363,10150.0818939,10051.9169107,10127.2579683,10052.1409592,10084.6703267,10389.7185271,10164.9247687,10136.5989394,10042.3075536,10194.3648212,10096.1965985,9926.7827601,9983.6503095,10084.8723189,10084.8943378,9868.5721133,10069.1139012,9961.3452986,9980.0773988,10391.3733857,10195.9121701,10135.9222673,10010.8275135,10211.6320023,10151.1655018,10303.8290841,10210.7225813,10066.2782539,10102.0188371
364,9608.8933701,9583.3112104,9722.3323763,9619.6688641,9592.5795278,9773.6637869,9646.1662286,9676.9320733,9610.4189262,9787.262453,9625.8286581,9598.7317219,9628.7693613,9701.2577176,9680.8042545,9566.1143621,9586.4270621,9620.2277036,9598.182902,9746.0800639,9614.456364,9720.7865599,9604.6834198,9616.8370663,9618.6391751,9712.6350886,9700.1400434,9642.4784044,9599.0663563
365,9575.9758633,9536.1729267,9906.2466666,9729.6543139,9721.6462272,9513.6134175,9581.1194326,9681.1121321,9543.7235756,9896.0787803,9749.8986925,9876.3400846,9664.7876318,9818.2844919,9801.9765197,9877.2872507,9721.6801956,9965.0808715,9833.8459647,9744.5088355,9701.4148312,9828.009455,9235.1775183,9617.3202822,9590.1860317,9744.9812879,9730.8234393,9839.3876,9650.2950685
366,9640.7175059,9545.1752672,9399.5411593,9355.7055601,9266.7649193,9341.5764415,9308.2525267,8816.5866863,8427.90453,8458.2180794,8512.8273352,8310.4981515,8340.2599432,8390.6553105,8380.0360851,8068.6891786,8386.1200851,8498.9298559,8577.1209867,8962.3474617,8770.8838371,8743.7228349,8449.4769142,8599.8127698,8704.7479653,8697.6813336,8902.3527444,8612.4523525,8678.4833047
367,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
368,10278.8515115,10146.4421335,10120.8546392,10088.7925312,10159.7065548,10409.140065,10260.9336909,10253.0655559,10240.9382959,10041.0466059,10146.473391,10179.1710834,10248.3807002,10276.4767484,10232.7356641,10226.0264977,10233.8506783,10191.7833932,10432.3058178,10255.0176228,10215.0498454,10303.847079,9805.5328879,10300.2618146,10324.7088268,10092.2246964,10214.3732166,10114.816952,10118.7776432
369,9495.5059149,9378.3444622,9629.6837215,9432.8816171,9404.1507162,9649.4447174,9335.136962,9452.917603,9306.9701172,9753.4947733,9594.3448721,9409.9012135,9156.4257565,9437.5324296,9461.1682664,9120.5254391,9167.2324858,9150.4187641,9208.920721,9663.0691257,9459.202858,9608.6133622,9221.775589,9538.3313891,9420.8734557,9659.7590059,9705.8767715,9380.353943,9435.3650664
370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
371,10103.3115234,10039.3134007,10129.4875484,10075.3098647,10092.0287092,10163.9187472,10192.1631091,10087.4632725,10088.0849639,10012.7793024,10011.4449102,9967.8848148,10081.0693196,9923.9549815,9887.9947958,9885.0957189,9937.6886341,9912.4451262,9980.4282107,10092.7174839,9634.1994336,9804.4654491,9752.7832944,10137.539232,10073.4419657,10133.3827948,10190.2285482,10064.8014816,10139.1911404
372,10573.8773076,10543.7984907,10662.7277707,10525.183248,10483.6201583,10388.4205617,10533.8579624,10508.9935819,10510.5918806,10683.5364496,10531.529697,10478.9009287,10464.7584175,10397.5725265,10373.7289816,10385.8576848,10417.7586683,10405.9710027,10563.8265556,10604.014156,10307.8770859,10429.5328121,10217.2121462,10675.52438,10547.5517504,10767.4157773,10751.6218503,10683.5971835,10747.6305565
373,9691.01337,9730.1591218,9620.5533429,9773.2983669,0.0,10126.0943631,9592.9291766,9685.4735938,9827.7831256,9488.7747377,9734.1138918,9818.450265,9938.1892527,10057.181457,9842.7329325,9863.9523115,9854.1805221,9843.2790841,9720.2636436,9668.998268,9867.1235003,9833.8430589,9967.9383152,9646.3964603,9701.5808815,9318.1169368,9333.3633449,9357.6076499,9404.0168716
374,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0
375,10119.7817135,10012.905845,10382.2584431,10167.4527421,10261.9715544,9840.9755391,10158.3557857,9990.7034998,9998.7017478,10173.6135828,9981.0266174,9936.8421098,9836.6055961,9919.2268653,9931.1047031,10056.4653589,9933.7637504,9926.5148669,9940.8035191,10077.2177211,9956.6754047,10051.1295453,9672.7166519,10135.5770812,9926.230275,10245.0406681,10034.5821728,10107.3125325,9987.9310328
376,9109.0002678,9036.5223362,9016.8855934,9019.8197945,9031.5968158,9171.9440867,8998.9850766,9026.3011091,8819.5251088,8839.7050858,9010.0537319,8893.3627972,8925.7212202,8885.1894405,8868.2362664,8898.3961793,8933.1142568,8877.4470989,8968.026437,8963.4556251,8686.5201826,8861.3154962,8733.8871483,9093.4380707,9003.2365092,9218.0729473,9163.300007,9201.8571335,9207.9562407
377,9424.0498309,9470.5713777,9443.9621306,9390.3120224,9480.3162784,9413.3806993,9605.0939504,9777.8800144,10258.5164873,10390.3794299,10708.3422842,9569.1398279,9472.1254624,9214.4657764,8695.6919601,8633.9101844,7920.6985057,8074.3603243,8304.4692389,9110.3253543,8852.2199804,9080.6203955,9554.5294724,10706.5045368,10539.667581,10679.7209519,10895.8916293,10605.1675641,10695.8771493
378,9112.8201518,8909.2094226,7967.7083589,8543.7123745,8067.0544298,9377.7490826,8770.5762453,8825.4363354,9091.8668838,8625.7408419,8938.7494079,9000.1913023,9113.994571,9164.0170551,9115.2812005,9147.2144192,9058.3373818,8986.9274331,8908.7627859,8878.0166523,9058.7347486,8957.9202721,8823.1254125,8508.5203965,8699.9317071,8728.9353139,8764.0095463,8778.3331957,8651.6742824
379,9211.9483974,9099.6301864,9471.0056231,9370.4748611,9404.2628065,9145.9612614,9447.6629274,9245.7020438,9315.0858012,9436.6534977,9208.716224,9235.9017725,9178.0484024,9214.9134157,9220.614604,9230.4408226,9187.681132,9169.8617781,9262.6838317,9206.9851104,9219.6791696,9273.812065,9077.0484905,9207.8572212,9136.5689393,9171.2458937,9180.2066869,9187.2748405,9258.646123
380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,9528.4937911,9513.5358757,9249.4307304,9262.0190986,9458.0085952,9330.3387681,9211.2902713,9337.7969895,9069.8199977,8899.2323753,9486.5403195,9327.2261224,9374.0596327,9426.9904154,9136.6223725,9335.3814221,9338.5618319,9282.9659188,9332.8607694,9160.3684236,9082.6644798,9143.0117193,9027.512043,9290.3822101,9320.7671409,9431.8434788,9413.3425206,9416.9831836,9463.2036555
383,8967.957863,8906.2478911,8963.984136,8966.6872176,8967.8224596,9013.4464668,8881.6399146,8926.1639767,8963.9292269,8971.1842636,8906.1001994,8959.2830614,8957.2084734,8971.7904847,9072.6396482,9022.8275807,9089.1227075,9021.2359699,9034.103748,8995.9629593,9075.0371559,9063.1264337,9001.186679,9057.0063925,9018.025652,9047.5994721,9076.7268216,9000.305695,9081.057183
384,9430.1602372,9261.980477,9471.6812256,9308.614763,9340.8532267,9339.6732185,9266.0440104,9248.1928402,9286.9770974,9375.7479675,9395.0124899,9257.7563428,9156.6294475,9561.753408,9294.7268242,9155.0588129,9184.2708332,9089.2540742,9236.2502223,9586.9973132,9394.6571717,9457.0359246,9143.8233854,9575.1407967,9485.1653389,9792.2278403,9643.2932953,9441.0256998,9485.6407438
385,9108.1166699,9069.5197229,9120.5523551,9052.8448877,9083.7257042,8843.4973373,9021.3898461,9017.1182501,9079.7997392,9166.0467785,8947.3415882,8988.6588115,9004.0457347,9022.6843381,9018.0124812,8964.5792868,9104.208188,9046.1444135,9040.2578535,9044.6869921,9051.7727816,9116.7639836,8442.4172909,9123.2644386,8968.5760297,9164.8950765,9108.8144938,9105.2121054,9123.3948337
386,8345.7351349,8488.8269212,8007.746455,8310.0663284,8418.6511343,9018.3566079,8601.4892562,8569.7282116,8511.223101,8135.2599414,8442.1005657,8495.7931204,8497.5911566,8684.8263437,8924.6624039,8748.046453,8948.9362116,8767.3095273,8681.8158224,8374.7862627,8562.1871454,8389.3259934,7672.0442059,8414.6997228,8577.2309882,8564.4020821,8458.3697765,8543.0085072,8397.5321926
387,8351.6642999,8335.4355448,8648.1603547,8556.259975,8588.6339676,8458.486314,8555.5200127,8496.0688472,8530.4275225,8548.6456856,8482.2102531,8486.096442,8537.0674598,8574.4195067,8619.2405464,8541.9422132,8633.5592866,8579.1024506,8583.4872833,8620.9494317,8650.3592526,8631.1404869,8554.6044875,8537.762608,8622.187453,8644.8502888,8693.523036,8627.9353586,8512.3203714
388,8445.820443,8537.0313789,8348.4302767,8338.5017932,8348.7267232,8750.0850269,0.0,8465.0005368,8117.370004,8379.746705,8605.2820648,8441.2199299,8637.5102625,8677.7855642,8488.4370623,8493.1289026,8483.8193109,8414.9937233,8362.3229329,8576.689016,8522.0229626,8432.7295446,9091.3584395,8473.3334923,8428.721102,8410.8956477,8569.5140483,8227.6923044,8477.6237957
389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
390,9127.6033857,9187.4410176,9176.6947624,9157.5297254,9226.8843965,8962.8145381,9040.5721315,9188.1874808,9099.1117414,9085.0078072,9200.2370386,9041.8073145,9015.5954872,9029.7459221,9127.8983593,9083.6865194,9154.1975991,9118.06,9144.1923431,9041.2387473,9189.3344357,9187.0279095,8577.1029748,9170.9421899,9011.9287027,9189.8815487,9119.5539164,9114.2763624,9043.8308591
391,8540.4150086,8449.9258018,8512.0992544,8471.9335678,8457.24379,8403.0602499,8511.1272176,8472.0967292,8450.5980755,8415.9669028,8458.5878908,8421.8136032,8418.3495878,8330.2641757,8316.882536,8337.7298565,8341.7150039,8354.3703473,8427.6742109,8466.7924645,8306.6172831,8270.6888355,7993.1118945,8568.0476274,8468.7049157,8536.9161059,8528.1866484,8552.1079443,8661.6260819
