ObservedAt:	2006-08-23T03:41:12
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          161.12          542.13          3.2118          3.5310          3.3714          451.26        28473.09        30904.18        31983.72
          689.83          769.89          3.8932          4.1659          4.0296          427.12        24013.52        27810.19        29280.18
          403.03          363.38          3.5719          3.5446          3.5582          453.67        28827.29        32076.50        32965.09
          492.27          551.39          3.6183          3.7882          3.7033          448.61        24105.87        27171.83        28315.85
          305.26          445.90          3.5468          3.5589          3.5528          456.18        26854.25        29223.57        29743.46
          895.73          613.85          3.9613          4.0467          4.0040          428.92        23302.48        27229.87        28507.34
          581.21          705.61          3.9412          3.8038          3.8725          438.33        23491.93        27246.13        28390.57
          935.11          683.65          3.9229          3.8562          3.8896          424.90        24055.82        28109.37        29800.08
          714.04          630.95          4.3216          4.0173          4.1694          439.03        22841.51        26868.32        28687.82
          961.15          591.78          4.2133          3.7772          3.9953          426.27        22644.26        26327.28        28001.72
          720.64          486.44          4.3150          4.1191          4.2170          440.62        34372.64        40670.34        43619.09
          723.63          435.28          3.9189          3.9244          3.9216          445.89        23977.99        27635.17        28618.13
          397.47          653.52          3.8975          3.7434          3.8205          447.97        25120.97        28608.21        29381.77
          310.51           44.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          992.81          723.91          3.7592          3.7817          3.7705          428.50        35032.14        40102.74        41709.82
          943.27          577.78          4.1547          3.8156          3.9852          426.01        21524.34        24986.87        26553.10
          407.05          450.64          3.5265          3.5833          3.5549          449.85        25789.49        28630.83        29455.32
           73.33          119.07          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          105.60          862.38          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          495.50          672.70          3.8464          3.8116          3.8290          446.49        23987.41        27217.22        28167.06
          456.43          301.71          3.7268          8.5094          6.1181          452.67        22152.35        27044.30        36789.89
           18.93          839.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          217.28          645.67          3.8311          3.4951          3.6631          449.70        26206.63        29236.32        30172.08
          432.16          809.87          3.6053          3.6353          3.6203          442.00        24636.58        27706.34        28412.62
          796.71          135.66          3.7458          3.7030          3.7244          456.21        23006.77        26486.93        27858.79
          913.26          550.15          3.9983          3.8324          3.9153          424.72        31840.92        36660.95        38442.67
           46.61          647.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          528.36          630.02          3.8902          3.6534          3.7718          444.33        20166.79        22735.80        24042.31
          671.91          444.92          4.0112          5.1809          4.5960          445.73        19537.42        23698.73        26468.73
          674.92          392.43          4.0917          4.0311          4.0614          442.60        20651.16        23654.98        24886.79
          219.84           53.11          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          185.21          624.82          3.5072          4.2727          3.8899          456.28        26066.82        30565.14        35894.51
          234.61          492.89          3.5838          3.3111          3.4474          450.15        21734.17        24255.23        25485.18
          185.22          624.82          3.5097          4.2727          3.8912          456.28        26066.82        30565.14        35894.51
          177.29          328.37          3.6739          3.9766          3.8253          452.51        22981.95        26772.75        29379.44
          354.55          684.86          3.5073          3.8950          3.7012          451.69        21005.49        24003.35        25237.37
          303.36          880.87          3.4437          3.4062          3.4250          443.09        22956.35        25574.41        26275.54
          196.27          574.52          3.4128          3.4230          3.4179          452.83        27424.22        30431.70        31321.88
          438.46          825.51          4.0913          3.7932          3.9422          441.92        20408.92        23923.48        26113.68
          260.22          284.64          3.4448          3.6165          3.5307          458.79        24115.70        26242.97        27625.78
          255.50          670.47          3.2964          3.8001          3.5483          449.54        30477.99        35232.01        37204.82
          644.37          342.83          3.8319          3.7959          3.8139          441.50        18817.14        21622.51        22951.15
          816.01          895.34          3.9071          4.0325          3.9698          424.84        17621.95        20248.40        21432.29
          260.46          284.84          3.5517          3.5984          3.5751          458.78        24115.74        26243.04        27625.89
