star	20b	20v	20r	20i	22v	22r	22i	20r-20i	22r-22i	mean r-i
26	10.768872156682312	10.36645756945493	10.00456588880189	9.748191177738935	10.402378541230332	10.142724336889419	9.9548644880789	0.2563747110629553	0.18785984881051832	0.2221172799367368
27	10.764729494065946	10.382924933240352	10.035888415907985	9.806121711755768	10.477331662869279	10.24312670982084	10.080377926778905	0.22976670415221712	0.16274878304193585	0.19625774359707648
28	10.75160949956178	10.37775550075047	10.053737323037243	9.847709660579898	10.430634068154996	10.197235157339268	10.058094047139246	0.20602766245734472	0.13914111020002196	0.17258438632868334
29	10.819968247369966	10.440207597557269	10.087263035442938	9.85453782726765	10.499895306944229	10.236855620097263	10.081995780265727	0.23272520817528708	0.15485983983153595	0.19379252400341151
30	10.9558021869963	10.48075500605087	10.085560040468833	9.821882066451225	10.593655631361484	10.298373738175968	10.112510089384152	0.2636779740176074	0.18586364879181616	0.22477081140471178
31	10.889540341906507	10.469360546531183	10.103872024566282	9.858418891761529	10.499512531621603	10.22641061120368	10.053589209634263	0.24545313280475334	0.17282140156941672	0.20913726718708503
32	10.943831990534568	10.4695078487272	10.08291429507094	9.791068704569007	10.504411168832604	10.209361658459901	9.977136398060031	0.2918455905019339	0.23222526039987024	0.2620354254509021
33	10.930085773911191	10.50929470284866	10.154280138322205	9.893633404430206	10.592018957811987	10.321156636600124	10.14372205831531	0.2606467338919991	0.17743457828481368	0.2190406560884064
34	12.53777508554622	11.073678398428934	10.154352441935856	9.350438147551241	11.149244867826166	10.31118246369847	9.589362484961027	0.8039142943846151	0.7218199787374431	0.7628671365610291
35	10.87165340832332	10.513920627157614	10.18404278857214	9.96246008019646	10.574755086095198	10.338969389053892	10.195650436284982	0.2215827083756814	0.14331895276890982	0.1824508305722956
36	10.890260640765106	10.515527008514574	10.194990438914434	9.989146186331142	10.54950573539858	10.315284227625979	10.174484757337144	0.20584425258329198	0.14079947028883488	0.17332186143606343
37	10.959898516221928	10.556131976856198	10.19953570569142	9.958478913552694	10.588036306355523	10.323887161107601	10.144548724398765	0.24105679213872655	0.17933843670883576	0.21019761442378115
38	10.960663734616519	10.553229584624402	10.199165728629373	9.96026197119405	10.581696259597766	10.322526914983854	10.145403350757423	0.2389037574353221	0.17712356422643083	0.20801366083087647
39	10.98821574741529	10.61584042973819	10.263500765126867	10.073898058866428	10.604905288861007	10.345304306011679	10.21735861775196	0.1896027062604393	0.12794568825971808	0.1587741972600787
40	12.244904705352903	11.035934217730823	10.270813353103607	9.63649159128238	11.135169253456109	10.461405406460775	9.921417074862184	0.6343217618212265	0.5399883315985914	0.5871550467099089
41	11.304604847228894	10.704448891297758	10.251015208873111	9.92843816360633	10.759690110788316	10.388780517541084	10.150313535483455	0.3225770452667813	0.23846698205762884	0.2805220136622051
42	11.062777878563969	10.670250253104753	10.329840117893992	10.102342148692829	10.705293941660283	10.45682340352856	10.288942280777317	0.22749796920116339	0.16788112275124334	0.19768954597620336
43	11.119764571083246	10.754004735712133	10.423780654637861	10.202123502483806	10.83565646119157	10.594679353776863	10.45353896552831	0.22165715215405513	0.14114038824855335	0.18139877020130424
