StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
1150	15.447	13.807	1.6397		15.441	14.068	1.3737	1.5067		16.81				17.178												-0.36772
1151																										
1152	15.088	14.647	0.44043		15.341	15.053	0.2884	0.36442	16.57	16.514	0.056179		16.558	15.813	0.74573											0.70107
1153	15.346					13.995			20.97	22.551	-1.5812															
1154	17.226	13.641	3.5857			14.018		3.5857																		
1155	15.503	13.833	1.6707		15.747	14.082	1.6646	1.6677		18.084				21.128												-3.0441
1156	15.267	13.854	1.4125		15.113	13.945	1.1674	1.2899	16.642	15.515	1.1268		17.236	15.809	1.4263											-0.29382
1157	15.186	13.774	1.4125		15.128	14.239	0.88875	1.1506	18.348	16.056	2.2923			16.849												-0.79278
1158					15.274					16.455																
1159	14.732	13.604	1.1286		14.922	13.88	1.042	1.0853	16.99	15.903	1.0872		17.706	15.924	1.7822											-0.021172
1160	14.776					14.595			16.325	15.55	0.77455															
1161	15.465	13.699	1.7659		15.397	13.794	1.6033	1.6846	21.12	16.748	4.3722		18.338	17.335	1.0024											-0.58718
1162	15.563	13.443	2.1192		15.505	13.65	1.8542	1.9867	18.942	17.022	1.9199		18.506	19.057	-0.55093											-2.0354
1163	14.738	13.949	0.78928		14.971	14.072	0.89834	0.84381	16.458	15.366	1.0918		17.139	15.96	1.1791											-0.59411
1164																										
1165	15.353	13.55	1.8028		15.395	13.899	1.4961	1.6495		17.333				16.595												0.73781
1166																										
1167	15.197	13.735	1.4614		15.252	14.021	1.2306	1.346	17.096	17.086	0.010614			17.051												0.035055
1168	15.402				15.553	14.383	1.1703	1.1703		17.482			18.869	18.64	0.22847											-1.1583
1169	15.243	13.796	1.4467		15.325	13.99	1.3349	1.3908	20.538	16.517	4.021		17.886	16.914	0.97294											-0.39683
1170																										
1171	14.869	14.113	0.756		14.822			0.756	17.035				17.576	15.765	1.8111											
1172	14.864	14.17	0.69416		14.75	14.207	0.54299	0.61858	16.239	15.11	1.1288		16.227	15.3	0.92661											-0.18973
1173	14.839	14.038	0.80136		15.079	14.132	0.94732	0.87434	16.817	15.594	1.2227		16.424	15.706	0.71807											-0.11226
1174																										
1175	14.92	14.187	0.73304		15.258	14.464	0.79467	0.76386	16.782	15.763	1.019		16.662	15.755	0.90746											0.0083389
1176	15.034	13.506	1.5277					1.5277																		
1177																										
1178						14.227							15.341													
1179	16.128	13.73	2.3979		15.478	13.951	1.5273	1.9626	17.456	17.961	-0.5043		18.553	18.711	-0.15816											-0.75046
1180	15.122	13.671	1.4505		15.387	13.963	1.4237	1.4371	18.466	17.439	1.0263		18.802	16.981	1.8207											0.45835
1181																										
1182	14.803	13.847	0.95559		14.737	14.108	0.62814	0.79186	17.297	15.817	1.4802			15.711												0.106
1183																										
1184																										
1185	15.282	13.764	1.5183		15.677	14.008	1.6688	1.5936	20.331	16.921	3.41		24.589	17.412	7.1774											-0.49148
1186																										
1187																										
1188																										
1189																										
1190	15.001	14.055	0.94591		15.212	14.268	0.9438	0.94485	17.403	16.364	1.0393		18.118	16.178	1.9399											0.18598
1191	16.535	13.662	2.8737			13.883		2.8737		18.576																
1192	15.356	14.747	0.60937		15.371	15.692	-0.32182	0.14377	17.168	16.195	0.97243		17.754	16.098	1.6563											0.097784
1193	15.369	13.792	1.5777		15.681	13.972	1.7084	1.6431	19.378	16.495	2.8828		18.803	16.835	1.9682											-0.33943
1194	15.994	13.564	2.4299		16.141	13.883	2.2584	2.3441	20.047	18.78	1.2673			19.522												-0.74197
1195	16.131	13.52	2.6112			13.804		2.6112		18.32			18.424	17.534	0.89074											0.78649
1196																										
1197	18.024	13.704	4.3197			13.914		4.3197		18.152																
1198																										
1199																										
1200	15.133	14.254	0.87915		15.359	14.397	0.96163	0.92039	17.097	15.862	1.2354		16.822	16.064	0.75805											-0.20187
1201	14.595	13.849	0.74667		14.716	13.984	0.73214	0.7394	16.086	15.49	0.59635		16.415	15.583	0.8321											-0.093227
1202	15.861	13.804	2.0572		15.829	13.968	1.8604	1.9588	18.336	16.973	1.3635			17.543												-0.57067
1203					14.845																					
1204																										
1205	17.46	13.576	3.8835			13.629		3.8835		19.017																
1206	15.351	13.896	1.4548		16.203	14.144	2.0588	1.7568																		
1207																										
1208																										
1209	15.241	13.738	1.5025		15.375			1.5025																		
1210	15.303	13.554	1.7496		15.593	13.757	1.8364	1.793		16.781				17.079												-0.29814
1211	15.451					14.099			18.819	18.277	0.54202			18.103												0.17451
1212																										
1213	15.195				15.445	13.866	1.5792	1.5792		16.607			17.851	16.872	0.97943											-0.26445
1214	14.923	14.021	0.9023		14.988	14.135	0.85315	0.87773	16.282	15.82	0.46247		16.199	15.554	0.64515											0.2658
1215																										
1216	15.246					13.852				16.326			18.925	17.27	1.6554											-0.94382
1217	14.816	14.04	0.77552		14.778			0.77552	16.578				17.255	15.837	1.4184											
1218	15.701	13.787	1.9134		15.607	14.066	1.5414	1.7274	18.265	18.144	0.12077			17.409												0.73503
1219	17.146	13.845	3.3013			14.102		3.3013	18.91																	
1220	16.528	13.674	2.854		15.868	13.868	2.0001	2.4271	18.678	17.981	0.69719															
1221																										
1222	15.521	13.896	1.6255		15.556	13.974	1.5815	1.6035	18.704	16.838	1.8668															
1223		13.348				13.575																				
1224	14.59	13.778	0.81268		14.828	13.916	0.91176	0.86222	16.732	15.419	1.3128		16.513	15.439	1.0747											-0.019173
1225	14.335								15.728				15.936	15.039	0.89765											
1226	15.948	14.086	1.8625		16.169	14.401	1.7681	1.8153																		
1227	15.785	13.612	2.1733		16.064	13.813	2.2506	2.2119		18.314				17.46												0.85381
1228																										
1229																										
1230																										
1231	15.26	13.981	1.279		15.571	14.219	1.3514	1.3152	19.234	16.554	2.6798		17.094	16.822	0.27194											-0.26782
1232					15.57					17.52																
1233																										
1234	15.153	13.997	1.1558		15.254	14.464	0.79064	0.97324	17.255	17.382	-0.12643			16.466												0.91591
1235	15.176	13.859	1.3179		15.252			1.3179	17.269					16.469												
1236	15.049	13.804	1.2449		15.291	14.204	1.0868	1.1659	17.529	16.848	0.68106		17.648	16.086	1.5622											0.76232
1237	16.051	13.636	2.4146		15.886	13.983	1.903	2.1588		17.378																
1238	15.759	13.94	1.8187		15.91	14.277	1.6327	1.7257	16.401	18.104	-1.7031			17.444												0.65978
1239	15.064	14.011	1.0533		15.007	14.189	0.81768	0.93547	16.873	15.9	0.9728		16.456	15.931	0.5251											-0.030269
1240	16.869	13.684	3.1849			13.934		3.1849																		
1241	15.456	13.923	1.5329		15.694	14.114	1.5803	1.5566	19.252	17.511	1.7407			16.9												0.6111
1242	14.874	13.879	0.99496		15.062	14.287	0.77507	0.88501	17.06	15.723	1.3365		16.743	15.55	1.1936											0.17352
1243	15.026	14.106	0.92007		15.211	14.399	0.81197	0.86602	17.277	15.874	1.4031		17.057	15.879	1.1771											-0.0055275
1244	15.298	13.767	1.5312		15.326	13.769	1.5565	1.5439		15.845			17.474	16.985	0.48904											-1.1395
1245																										
1246										17.144																
1247																										
1248																										
1249																										
1250	15.232	13.674	1.5576		15.379	13.938	1.4408	1.4992	17.001	17.006	-0.005085		19.039	16.532	2.5072											0.4737
1251	16.047	13.58	2.4662		16.266	13.796	2.4702	2.4682	19.452	17.834	1.6187															
1252	14.782	14.137	0.64504		14.979	14.588	0.3911	0.51807	17.113	15.753	1.3594		16.525	15.363	1.1617											0.38991
1253	14.996	13.946	1.0508		15.146	14.205	0.94092	0.99586	17.09	16.12	0.96954		19.568	16.085	3.4824											0.034805
1254	15.146	13.979	1.1668		15.165	14.123	1.0419	1.1043	18.754	16.379	2.3747		19.683	16.405	3.2781											-0.025915
1255	15.206	14.485	0.72053		15.304	14.717	0.58727	0.6539	17.429	15.927	1.5022		17.821	15.902	1.9185											0.02522
1256	15.34	14.651	0.68896		15.561	14.644	0.91659	0.80278	17.113	16.043	1.0701		17.549	16.285	1.2639											-0.24134
1257	15.219	13.674	1.5455		15.468	13.926	1.5416	1.5436		16.795			18.818	17.083	1.735											-0.28766
1258	15.109	14.168	0.94102		15.347	14.559	0.78765	0.86433	16.94	16.148	0.79224		17.625	15.784	1.8404											0.36368
1259	15.083	13.673	1.4103		15.23	13.869	1.3613	1.3858	18.01	16.737	1.2733			16.434												0.30276
1260																										
1261	15.638	13.724	1.9136		15.645	13.894	1.7504	1.832	17.91	17.757	0.15316			17.501												0.25589
1262	14.903	14.301	0.60215		15.048	14.359	0.68831	0.64523	16.189	15.476	0.71241		16.843	15.833	1.0102											-0.35631
1263	14.676	13.968	0.7079		14.763	14.215	0.54864	0.62827	16.337	15.434	0.90294		16.284	15.484	0.79978											-0.049352
1264	15.481	13.601	1.8803					1.8803																		
1265																										
1266																										
1267	14.809	14.205	0.60383		14.912	14.332	0.58016	0.59199	16.837	15.422	1.415		17.094	15.679	1.4149											-0.25705
1268	15.341	14.557	0.78334		15.658	14.619	1.0384	0.91089	16.653				16.422	15.948	0.474											
1269	16.21	13.926	2.2844		16.329			2.2844	21.023																	
1270	15.431	13.684	1.7472		15.571	13.968	1.603	1.6751		17.579			21.227	18.077	3.1505											-0.49808
1271																										
1272					15.389	14.497	0.89185	0.89185	16.884	15.808	1.0759															
1273																										
1274	16.544	13.759	2.7853			13.836		2.7853																		
1275	15.526	13.543	1.9833		15.309	13.824	1.4847	1.734		18.997			19.97	16.736	3.2346											2.2614
1276	15.994	13.351	2.6428		16.359	13.704	2.6544	2.6486	21.885				18.984													
1277	15.87	13.616	2.2536		16.227	14.058	2.1683	2.2109	17.712																	
1278	16.192	13.575	2.6172		16.504	13.673	2.8308	2.724	18.611	17.907	0.70497															
1279																										
1280	16.489	13.792	2.6973			14.224		2.6973	18.91				18.35	17.785	0.56576											
1281																										
1282	15.745	13.996	1.7494		15.963	14.232	1.7315	1.7404					17.344	17.012	0.33204											
1283					16.018																					
1284	16.582	13.434	3.1475			13.631		3.1475																		
1285						14.19																				
1286																										
1287																										
1288																										
1289	15.914	13.667	2.2466		16.26	13.859	2.401	2.3238	17.229	20.802	-3.5727			18.615												2.1871
1290	15.208	14.352	0.85565		15.26	14.995	0.26454	0.56009	17.573	16.016	1.5572		17.069	15.932	1.137											0.083921
1291	16.203	13.678	2.5254		16.004	14.119	1.8854	2.2054					20.705													
1292	16.298	13.793	2.505			13.968		2.505																		
1293	15.044	14.215	0.82848		15.218	14.515	0.70269	0.76559	17.978	16.329	1.6484		18.286	15.931	2.3551											0.39813
1294	14.783	14.259	0.52472		15.052	14.637	0.4151	0.46991	16.678	15.794	0.88402		16.484	15.783	0.7012											0.011413
1295	16.76	13.845	2.9154			14.118		2.9154		17.979			22.321													
1296	15.605	14.041	1.5644		15.717	14.2	1.5175	1.541		17.254			18.317	17.171	1.1465											0.083227
1297	15.888	14.009	1.8785		16.231	14.338	1.8925	1.8855	18.627	18.227	0.40012		16.657	18.134	-1.4769											0.092373
1298	15.698	13.916	1.7811		15.844	14.164	1.68	1.7305		17.182				17.889												-0.70661
1299	15.6	13.648	1.9519		15.74	13.948	1.7912	1.8716		17.696				17.366												0.33089
1300	16.597	13.71	2.8875			14.099		2.8875		19.187			22.75													
1301	17.466	13.735	3.731			13.923		3.731																		
1302	16.008	13.632	2.3759		16.031	13.905	2.1255	2.2507					18.077													
1303																										
1304																										
1305	15.194	14.419	0.77545		15.409	14.425	0.98343	0.87944	19.113	15.986	3.1267			16.591												-0.60414
1306	15.271	14.31	0.96143		15.38	14.393	0.98753	0.97448	17.381	16.314	1.0666			16.43												-0.11555
1307																										
1308																										
1309	15.73	13.718	2.0118		16.421	13.929	2.4917	2.2518	18.131	17.181	0.95016		18.255	18.05	0.2052											-0.86865
1310	15.201	13.57	1.6316					1.6316																		
1311	15.077	14.637	0.43996		15.223	14.751	0.47107	0.45552	16.431	15.826	0.60528		17.267	15.91	1.3568											-0.084721
1312	15.081	14.269	0.81165		14.961	14.393	0.56821	0.68993	16.922	15.707	1.2147		17.304	15.897	1.4068											-0.18959
1313																										
1314	15.971	13.745	2.2265		16.24	13.984	2.2552	2.2409		18.201			19.596													
1315	15.471	13.819	1.6514		15.609	14.119	1.4908	1.5711		18.454				17.466												0.98848
1316	15.741	14.042	1.6997		16.023	14.3	1.7233	1.7115	17.321	17.239	0.082571		17.566	16.532	1.0342											0.70689
1317	14.92	13.993	0.92678					0.92678					18.56	16.249	2.3109											
1318	15.186	14.695	0.49124		15.321	14.784	0.53732	0.51428	16.555	15.905	0.65004		16.867	15.79	1.0772											0.11565
1319	15.831	14.183	1.6484		15.734	14.454	1.2794	1.4639	17.737	16.701	1.0362			17.008												-0.30668
1320	17.166	13.844	3.3218			14.129		3.3218																		
1321																										
1322	14.812	13.943	0.86891		14.994	14.359	0.63532	0.75211	16.488	15.707	0.78084		16.652	15.675	0.97691											0.031408
1323	15.158	13.755	1.4025		15.936			1.4025																		
1324	15.193	13.933	1.2599		15.398	13.954	1.4438	1.3519	17.886	16.462	1.4243		18.517	16.55	1.9671											-0.088104
1325																										
1326	15.549	13.956	1.593		15.804			1.593	19.009					19.565												
1327	16.732	13.611	3.1206			13.937		3.1206	18.698	17.426	1.2722															
1328	17.004	13.823	3.1807			14.216		3.1807		19.513			17.796	21.395	-3.5992											-1.8822
1329																										
1330																										
1331	15.282	14.513	0.76897		15.433	14.87	0.56325	0.66611	16.856	16.153	0.70233		17.464	16.328	1.1355											-0.17485
1332																										
1333	15.04	13.894	1.1462		15.07	14.139	0.93098	1.0386	18.035	16.153	1.8818		16.876	15.947	0.92894											0.20652
1334	15.379	14.131	1.2482		15.806	14.399	1.4068	1.3275		16.611			18.547	16.403	2.144											0.20776
1335																										
1336	14.825	14.263	0.5623		15.319	14.696	0.62315	0.59272	17.906	16.018	1.8875		16.939	15.797	1.1423											0.22118
1337	15.042	13.818	1.2249		15.466	14.251	1.2149	1.2199	20.993	16.694	4.2982		18.919	16.263	2.6563											0.43126
1338																										
1339																										
1340	15.124	14.043	1.0809		15.388	14.412	0.97571	1.0283	16.51	16.404	0.10511		17.06	16.303	0.75645											0.10127
1341																										
1342	14.982	14.482	0.49933		15.093	14.726	0.36741	0.43337	17.35	16.011	1.3398		16.785	15.579	1.2056											0.4313
1343																										
1344	15.225	14.187	1.0388		15.471	14.423	1.0484	1.0436	19.136	16.243	2.8935		17.896	16.171	1.7245											0.071304
1345	15.292	13.804	1.4872		15.434			1.4872						20.744												
1346	15.084	14.582	0.50172		15.083	14.622	0.46153	0.48162	16.615	15.859	0.75646		16.302	15.769	0.53287											0.089372
1347	15.53	14.09	1.4399		15.819	14.438	1.381	1.4104	19.366	16.932	2.4343			17.277												-0.34566
1348	17.005	14.007	2.9986			14.092		2.9986					18.288													
1349	15.243								20.24																	
1350	15.187	13.162	2.0247		15.022	13.205	1.8169	1.9208	17.749	16.582	1.1669		17.61	17.071	0.53948											-0.48875
1351	15.231	13.767	1.4644		15.385	13.909	1.4761	1.4702	18.116	16.207	1.9095		17.172	16.645	0.52724											-0.43843
1352	15.228	14.481	0.74639		15.463	14.895	0.56871	0.65755	17.142	16.225	0.91761		16.951	16.013	0.9389											0.21198
1353																										
1354	16.234	13.959	2.2749		15.836	14.198	1.6375	1.9562	18.923	17.821	1.102															
1355	16.638	13.737	2.9011		16.207	13.953	2.2542	2.5777		19.703																
1356	15.631					14.716				18.642			19.192	17.232	1.9601											1.4099
1357	15.515	14.102	1.4127		15.794	14.566	1.2282	1.3205	19.04	17.989	1.0518		17.119	17.239	-0.12011											0.7498
1358	15.128	14.207	0.92185		15.348	14.278	1.0702	0.99602	19.288	16.144	3.1439		18.345	15.938	2.4076											0.20591
1359	15.609	13.952	1.657		16.239	14.17	2.0698	1.8634					18.628	17.121	1.5063											
1360																										
1361																										
1362					14.772																					
1363																										
1364	15.178	14.482	0.69612		15.155	14.618	0.53644	0.61628	17.171	15.638	1.5337		17.532	15.876	1.6564											-0.23828
1365																										
1366																										
1367																										
1368																										
1369	16.477	14.082	2.395		16.346	14.371	1.9751	2.1851	20.447	18.04	2.4072			20.296												-2.2558
1370	14.972	14.711	0.26106		15.509	14.992	0.51752	0.38929	16.546	15.775	0.77053		16.591	15.597	0.99382											0.17806
1371	15.343	13.94	1.4032		15.296			1.4032						18.327												
1372	15.654	14.127	1.527		15.718	14.222	1.496	1.5115		17.455			23.466	17.01	6.4558											0.44499
1373																										
1374	18.525	14.117	4.408			14.251		4.408		18.354																
1375	16.113	13.761	2.3517			14.147		2.3517	17.512	18.045	-0.53246		17.485	16.855	0.63019											1.1899
1376	15.434	13.962	1.4714		15.675	14.048	1.6278	1.5496	16.831	16.233	0.59752		17.84	16.79	1.05											-0.55641
1377																										
1378	14.918	14.203	0.71487		15.456	14.998	0.45834	0.58661	17.288	16.104	1.1843		16.992	15.71	1.2823											0.39409
1379					14.571																					
1380																										
1381	15.241	13.908	1.333		15.41	14.072	1.3377	1.3353	17.367	17.129	0.23798		17.96	17.054	0.90562											0.074295
1382	15.661	13.94	1.7204		15.779	14.151	1.6279	1.6741	18.073	17.009	1.0639			17.768												-0.75804
1383	15.234	14.527	0.70619		15.444	14.791	0.65344	0.67981	16.853	15.609	1.2444		16.798	15.995	0.8032											-0.38647
1384		13.168			14.793	14.383	0.40945	0.40945	16.087	15.551	0.53582		14.003	12.551	1.4518											3.0001
1385																										
1386	15.678	13.903	1.7754		16.27	13.917	2.3532	2.0643	18.316				17.988	18.104	-0.11557											
1387	15.596	13.841	1.7552		15.698	14.072	1.6269	1.691		17.902				17.246												0.65532
1388	16.307	14.015	2.2921		16.149	14.131	2.018	2.155		19.21			19.163													
1389	15.152	14.539	0.61253		15.192	14.823	0.36924	0.49089	16.75	15.928	0.822		16.883	15.84	1.0432											0.088132
1390																										
1391																										
1392	15.353	14.836	0.51699		15.62	14.879	0.74045	0.62872	17.462	16.009	1.453		17.482	16.219	1.2634											-0.20967
1393	15.328	14.432	0.8961		15.56	14.679	0.88121	0.88865	18.41	17.155	1.2548		17.373	16.962	0.41166											0.19333
1394																										
1395	15.183	14.688	0.4952		15.153	14.749	0.40427	0.44973	16.094	15.824	0.27071		14.965	15.245	-0.27951											0.57895
1396	15.093	14.216	0.8765		15.426	14.456	0.96999	0.92325	16.966	15.979	0.98659		18.584	15.962	2.6226											0.017631
1397																										
1398	15.492	15.074	0.41798		15.575	15.616	-0.040279	0.18885	16.885	16.095	0.79041		16.548	16.012	0.53627											0.082533
1399	18.579	14.221	4.3584			14.452		4.3584																		
1400	16.041	13.702	2.3397		16.183	14.126	2.0567	2.1982	18.707	18.58	0.12669			19.202												-0.62194
1401	15.224	14.528	0.69624		15.475	14.752	0.72284	0.70954	16.763	15.944	0.81944		16.697	15.972	0.7246											-0.028238
1402	15.16	14.626	0.53424		15.292	14.777	0.51505	0.52464	17.9	16.216	1.6843		17.494	16.029	1.4644											0.18678
1403	16.086	13.854	2.2322		16.06	14.017	2.0432	2.1377						19.574												
1404	15.973	13.979	1.9939		15.775	14.109	1.6656	1.8297					18.561	17.343	1.2174											
1405																										
1406	15.94	13.929	2.0109		15.727	14.49	1.2375	1.6242	18.696					17.465												
1407	14.944	14.009	0.93491		15.383	14.357	1.0259	0.98041	16.959	16.391	0.56855		16.763	15.71	1.0529											0.68049
1408	15.517	14.408	1.1089		15.555	14.743	0.81194	0.9604		17.137			17.197	16.816	0.38072											0.32087
1409	15.673	14.19	1.4832		15.881	14.397	1.4836	1.4834	17.881	17.508	0.37257			17.032												0.47628
1410																										
1411	16.126	13.995	2.1304		16.25	14.233	2.0173	2.0739	15.241	16.694	-1.4529		19.882	17.734	2.148											-1.0404
1412																										
1413	14.893	13.803	1.09		15.005	14.018	0.98687	1.0384	17.384	16.072	1.3123		18.391	16.46	1.9309											-0.38809
1414	15.705	14.395	1.3093		15.917	14.745	1.172	1.2406		16.885			19.68	16.333	3.347											0.55194
1415	16.23	13.945	2.2856			14.064		2.2856																		
1416																										
1417																										
1418	15.17	14.446	0.72341		15.435	14.404	1.0307	0.87706	17.57	15.901	1.6685		16.645	16.124	0.52048											-0.22325
1419	16.322	13.898	2.4241		16.711	14.236	2.4752	2.4497	17.172				17.431	18.292	-0.86151											
1420	15.229	14.491	0.73779		15.44	14.624	0.81612	0.77696	17.384	16.156	1.2288		18.438	16.344	2.0936											-0.18824
1421																										
1422	15.536	13.378	2.1582		15.683	13.531	2.1524	2.1553	18.741	17.608	1.1327		19.912													
1423																										
1424	16.344	13.729	2.6148		16.113	14.025	2.0884	2.3516		18.372			17.874	17.448	0.4264											0.92384
1425	15.721	13.95	1.7708		16.056	14.062	1.9941	1.8824	18.054	16.517	1.5365		16.622	16.624	-0.0014534											-0.10634
1426	16.055	13.636	2.4192			14.134		2.4192					17.296	18.423	-1.1265											
1427	16.21	14.395	1.8145		16.447	14.549	1.898	1.8562																		
1428	15.191	14.427	0.76363					0.76363																		
1429	15.977	13.961	2.0155			14.225		2.0155		17.643																
1430																										
1431						14.456				18.224																
1432	16.4	13.453	2.9469		16.012			2.9469	17.176																	
1433																										
1434	15.283	14.087	1.1955		15.49	14.386	1.1039	1.1497		17.209			19.288	16.823	2.4649											0.38636
1435	14.966	14.352	0.61365		15.037	14.499	0.53771	0.57568	16.559	15.876	0.68237		16.619	15.789	0.83002											0.087293
1436						14.814																				
1437	15.419	14.409	1.0101		15.346	14.511	0.83497	0.92252	17.158	16.069	1.0891		20.214	16.417	3.797											-0.34765
1438	16.034	13.902	2.132		16.471	14.072	2.3988	2.2654																		
1439	15.323	13.531	1.792		15.22	13.494	1.7255	1.7587		16.418			17.781	16.401	1.38											0.017038
1440	14.911	14.249	0.66166		15.155	14.419	0.73612	0.69889	16.469	15.499	0.97075		16.503	15.391	1.1123											0.10752
1441	15.408	14.536	0.87271		15.362	14.719	0.64307	0.75789	15.102	16.3	-1.1984		17.034	16.049	0.98499											0.25087
1442																										
1443	16.08	14.027	2.0536		16.104	14.097	2.0075	2.0306		18.45																
1444																										
1445																										
1446	15.478	13.574	1.904		15.731	13.884	1.847	1.8755	18.46	17.847	0.61355			17.165												0.68179
1447	15.739	15.032	0.70707		15.721	14.766	0.95439	0.83073	20.647	16.308	4.3395		20.101	16.746	3.3551											-0.4383
1448																										
1449	15.838	13.844	1.9943		15.806	13.938	1.8684	1.9314	18.446	17.64	0.80693		18.813	16.713	2.0996											0.92661
1450	15.672				15.832	14.142	1.6895	1.6895		17.099			17.933	17.895	0.03804											-0.79551
1451	15.388	14.941	0.44744		15.487	14.533	0.95464	0.70104	17.734	15.817	1.9167		17.867	16.5	1.3667											-0.68271
1452	15.735	14.058	1.6765		15.985	14.232	1.7527	1.7146	17.924	17.65	0.27411			19.9												-2.2496
1453	15.169	13.863	1.3056					1.3056	16.94				18.249	16.402	1.8469											
1454																										
1455																										
1456	15.602	14.455	1.1467		15.938	15.331	0.60682	0.87677	19.089	17.757	1.3326		18.687	16.791	1.8954											0.96531
1457	16.065	13.946	2.1188		16.285	14.26	2.0258	2.0723		19.269			19.394	19.723	-0.32868											-0.45395
1458	15.712	14.102	1.6094		15.585	14.251	1.3339	1.4716		17.273			18.335	17.832	0.50383											-0.55854
1459	15.457	14.42	1.0366		15.352	14.371	0.98086	1.0087	17.458	16.319	1.1393		17.737	16.531	1.206											-0.21273
1460	15.092	14.5	0.59186		15.149	14.737	0.41226	0.50206	17.187	15.857	1.3297		16.696	15.625	1.0709											0.23254
1461	15.224	14.267	0.95677		15.22	14.474	0.74564	0.8512	17.527	16.285	1.2424			16.632												-0.34696
1462	16.259	13.581	2.6783			13.706		2.6783																		
1463																										
1464	15.353	14.527	0.82576		15.457	14.595	0.86241	0.84409	17.215	16.073	1.1423		17.038	16.141	0.89757											-0.067619
1465	15.057	14.461	0.59572		15.157	14.712	0.4453	0.52051	16.795	15.701	1.094		16.67	15.781	0.88885											-0.080169
1466																										
1467	15.727	14.121	1.6065		16.167	14.188	1.9796	1.7931	18.469	17.217	1.2527															
1468	16.506	13.96	2.5463			14.261		2.5463					19.132	17.984	1.148											
1469	15.673	15.864	-0.19129		15.554	15.877	-0.32226	-0.25678	18.89	16.34	2.5502		17.783	18.805	-1.0219											-2.4652
1470	15.783	13.982	1.8018		16.126	14.186	1.9401	1.871		17.414				16.942												0.4724
1471																										
1472	15.351	14.201	1.1496		15.459	14.68	0.77831	0.96397	17.33	16.274	1.0564		17.613	16.342	1.2706											-0.068138
1473	16.837	14.068	2.7686			14.41		2.7686	18.411					19.449												
1474																										
1475	16.596	13.657	2.9388					2.9388					18.429	17.47	0.95877											
1476	15.333	13.727	1.6058		15.641	13.978	1.6631	1.6344		16.66			17.59	16.771	0.81952											-0.11083
1477																										
1478	15.937	13.871	2.0656		16.158	14.21	1.9478	2.0067						17.602												
1479	15.409	14.718	0.69187		15.557	14.795	0.76241	0.72714	17.143	16.086	1.0571		17.959	16.681	1.2771											-0.59505
1480	15.294	13.914	1.3794		15.57	14.04	1.5296	1.4545		16.917				16.572												0.3451
1481																										
1482	15.547	14.019	1.5281		15.591	14.231	1.3595	1.4438	17.241	16.998	0.24333		20.496	16.898	3.5982											0.099394
1483	15.662	13.846	1.8157		16.135	14.115	2.0197	1.9177		18.537																
1484	16.123	14.285	1.8382		15.688	14.201	1.4869	1.6626		16.629				18.348												-1.7198
1485																										
1486	16.166	13.821	2.3451		16.297	13.995	2.3021	2.3236	19.93	17.587	2.3433		20.571	19.23	1.3408											-1.643
1487	15.851	13.96	1.8919		15.651	14.146	1.5048	1.6983	18.455	17.248	1.2069			16.879												0.36835
1488																										
1489																										
1490	15.049	14.423	0.62615		15.309	14.601	0.7077	0.66692	16.917	15.619	1.2979		16.949	15.742	1.207											-0.1226
1491	16.501	13.738	2.7626		16.453			2.7626	18.821																	
1492																										
1493																										
1494	15.528	14.523	1.0052		15.618	14.871	0.74678	0.876		16.192			18.856	16.445	2.4108											-0.2533
1495	16.84	13.526	3.3141		16.591			3.3141	15.181																	
1496																										
1497																										
1498	15.725	14.038	1.687		16.492	14.396	2.0964	1.8917		18.542				18.698												-0.15573
1499	16.912	14.057	2.8544			14.23		2.8544	21.601				17.628													
1500	15.368	14.507	0.86084		15.743	15.127	0.61641	0.73863	17.708	17.251	0.45667		18.396	16.447	1.9497											0.80416
1501	15.499				15.714	14.349	1.3648	1.3648	18.481	17.014	1.467		17.524	17.62	-0.095394											-0.60553
1502										18.389																
1503	15.593	14.084	1.5089		15.624	14.244	1.3795	1.4442		17.357			18.199	17.485	0.71368											-0.1281
1504	15.361	14.058	1.3033		15.431	14.221	1.2101	1.2567	17.718	16.322	1.3966			16.705												-0.38338
1505	16.462	13.621	2.8414			13.947		2.8414	17.533	19.698	-2.1646															
1506	17.083	13.789	3.2946		16.426	14.106	2.3196	2.8071						25.949												
1507	15.059	14.7	0.35906					0.35906																		
1508	15.218	13.789	1.4294					1.4294																		
1509																										
1510	15.499	14.311	1.188		15.642	14.526	1.1158	1.1519	17.899	16.29	1.6088		17.307	16.576	0.73089											-0.28562
1511	15.655	14.819	0.83591		15.867	15.535	0.33283	0.58437	18.09	16.803	1.2876		19.205	16.483	2.7215											0.31938
1512																										
1513	16.054	14.015	2.0396		16.672	14.39	2.2817	2.1607																		
1514	15.993	14.216	1.7769		16.404	14.738	1.6653	1.7211						19.15												
1515					15.476					17.08																
1516	15.476	13.879	1.5969		15.583	13.987	1.5954	1.5962		16.747			18.332	18.329	0.0028114											-1.5824
1517																										
1518	15.363	14.529	0.83468		15.447	14.588	0.85874	0.84671	18.567	16.154	2.413		17.133	16.279	0.85383											-0.12566
1519																										
1520						15.956				16.762																
1521																										
1522	16.966	14.051	2.9152			14.247		2.9152																		
1523																										
