star	x_fwhm	y_fwhm	avg_fwhm
833	4.19835	3.155	3.155
834	4.7687	2.8496	2.8496
835	4.7113	3.32045	3.32045
836	3.2238	2.5818	2.5818
837	5.0507	3.3779	3.3779
838	3.84815	2.903	2.903
839	4.5886	4.1418	4.1418
840	4.8362	5.67375	5.67375
841	3.8084	3.2768	3.2768
842	4.3264499999999995	6.453	6.453
843	3.2533	3.0074	3.0074
844	3.7416	2.6098	2.6098
845	4.9669	3.8569	3.8569
846	4.3002	5.0517	5.0517
847	4.3046	4.2065	4.2065
848	4.601	3.1835	3.1835
849	4.3088	5.0049	5.0049
850	3.4861	3.2885	3.2885
851	3.0197	4.8769	4.8769
852	3.58845	3.8076499999999998	3.8076499999999998
853	4.2654	5.0083	5.0083
854	3.5818000000000003	3.7998000000000003	3.7998000000000003
855	4.08445	3.9404	3.9404
856	0.0	0.0	0.0
857	4.300000000000001	4.0218	4.0218
858	3.9304	2.5085	2.5085
859	2.88025	5.02065	5.02065
860	4.3046	4.1918	4.1918
861	2.88025	5.02065	5.02065
862	3.1803	3.771	3.771
863	3.5081499999999997	3.9503	3.9503
864	0.0	0.0	0.0
865	3.6107	4.6272	4.6272
866	4.8979	3.8422	3.8422
867	4.622	6.6424	6.6424
868	4.5283999999999995	3.8774	3.8774
869	5.8515999999999995	2.5869	2.5869
870	6.4028	5.41475	5.41475
871	3.7136	3.1253	3.1253
872	3.4075	5.2798	5.2798
873	4.7886	4.1104	4.1104
874	4.5923	6.7341	6.7341
875	0.0	0.0	0.0
876	4.59	2.5335	2.5335
877	3.5262	1.9928	1.9928
878	5.2224	4.5411	4.5411
879	4.1625	6.5855	6.5855
880	2.60405	4.616	4.616
881	3.2608	2.567	2.567
882	4.2769	4.2853	4.2853
883	4.68635	2.9619	2.9619
884	3.7009	3.2827	3.2827
885	2.619	4.1751	4.1751
886	3.6223	4.3075	4.3075
887	0.0	0.0	0.0
888	3.128	2.9553	2.9553
889	3.7183	5.81215	5.81215
890	5.3231	2.6464	2.6464
891	4.223800000000001	4.8927	4.8927
892	5.9884	2.366	2.366
893	2.4585	4.40005	4.40005
894	5.03195	3.3676	3.3676
895	0.0	0.0	0.0
896	4.1370000000000005	3.0486	3.0486
897	4.385400000000001	2.779	2.779
898	3.11775	2.731	2.731
899	0.0	0.0	0.0
900	4.1939	2.4964500000000003	2.4964500000000003
901	3.2532	3.1456	3.1456
902	4.3045	2.6983	2.6983
903	2.6018	4.40005	4.40005
904	3.5253	4.3388	4.3388
905	3.621	3.3972	3.3972
906	3.2848	3.7415	3.7415
907	3.032	4.5595	4.5595
908	4.0652	3.8304	3.8304
909	4.412	2.727	2.727
910	3.9223	3.22335	3.22335
911	3.7781	2.2052	2.2052
912	3.2186	2.0702	2.0702
913	2.44635	0.0	0.0
914	0.0	0.0	0.0
915	4.7782	4.6592	4.6592
916	0.0	0.0	0.0
917	0.0	0.0	0.0
918	3.8588	2.0605	2.0605
919	0.0	0.0	0.0
920	0.0	0.0	0.0
921	0.0	0.0	0.0
922	5.0642	3.4872	3.4872
923	3.5372	4.0739	4.0739
924	3.831	2.9513	2.9513
925	3.11775	2.8407	2.8407
926	5.1708	3.4864	3.4864
927	3.3747	2.2958	2.2958
928	3.2485	2.34265	2.34265
929	3.2025	4.1141000000000005	4.1141000000000005
930	2.7709	5.47	5.47
931	5.8776	2.5802	2.5802
932	0.0	0.0	0.0
933	2.3352	1.8513	1.8513
934	3.7191	1.298	1.298
935	3.84035	4.9354	4.9354
936	5.8776	2.5931	2.5931
937	3.1657	2.8307	2.8307
938	2.6261	2.1736	2.1736
939	5.5021	6.07715	6.07715
940	3.2943	2.8614	2.8614
941	2.6792999999999996	2.1979	2.1979
942	2.4812	4.61885	4.61885
943	3.16765	2.3919	2.3919
944	3.0931	2.5617	2.5617
945	3.6471999999999998	2.2615	2.2615
946	0.0	0.0	0.0
947	4.9687	3.5829	3.5829
948	3.0523	3.3587	3.3587
949	0.0	0.0	0.0
950	4.260149999999999	1.9369	1.9369
951	3.2449	2.7952	2.7952
952	0.0	0.0	0.0
953	2.6597	2.8867	2.8867
954	4.573	4.15205	4.15205
955	3.6865	3.7144	3.7144
956	2.9208	6.6417	6.6417
957	0.0	0.0	0.0
958	3.8712	4.3886	4.3886
959	0.0	0.0	0.0
960	7.1857	2.1417	2.1417
961	4.2626	5.0726	5.0726
962	3.4364	2.4102	2.4102
963	3.35485	3.4913	3.4913
964	4.1514	3.4735	3.4735
965	4.2812	2.71125	2.71125
966	0.0	0.0	0.0
967	4.1823	3.011	3.011
968	4.9635	4.3398	4.3398
969	4.4277	4.214700000000001	4.214700000000001
970	3.1751	3.0843	3.0843
971	4.2202	3.7687	3.7687
972	2.9221	3.15415	3.15415
973	6.3508	5.76	5.76
974	2.99255	4.1037	4.1037
975	2.5688	2.0323	2.0323
976	7.46115	2.9119	2.9119
977	2.9765	5.5304	5.5304
978	3.4007	1.3884	1.3884
979	5.5119	0.5339499999999999	0.5339499999999999
980	3.7982	2.2495	2.2495
981	4.2124	3.8081	3.8081
982	3.4007	1.3884	1.3884
983	3.6049	2.2688	2.2688
984	0.0	0.0	0.0
985	5.9571	3.2163	3.2163
986	4.8691	4.7775	4.7775
987	5.9571	3.2163	3.2163
988	3.6448	4.8939	4.8939
989	3.9869	3.7185	3.7185
990	4.0065	7.050800000000001	7.050800000000001
991	5.9571	3.2163	3.2163
992	4.9109	4.6409	4.6409
993	2.64	5.5093	5.5093
994	4.0368	3.5193	3.5193
995	4.4915	3.1556	3.1556
996	4.1296	3.5456000000000003	3.5456000000000003
997	3.5793	4.7537	4.7537
998	3.0521000000000003	4.1436	4.1436
999	4.30945	3.19	3.19
1000	2.6325	5.7561	5.7561
1001	0.0	0.0	0.0
1002	0.0	0.0	0.0
1003	0.0	0.0	0.0
1004	3.1353	2.8747	2.8747
1005	4.8026	4.0016	4.0016
1006	4.1242	4.5365	4.5365
1007	3.9791499999999997	3.4048	3.4048
1008	0.0	0.0	0.0
1009	2.2881	3.6178	3.6178
1010	3.5326	3.0251	3.0251
1011	0.0	0.0	0.0
1012	3.3259	2.7956	2.7956
1013	0.0	0.0	0.0
1014	3.7111	2.3492499999999996	2.3492499999999996
1015	3.2939499999999997	4.272550000000001	4.272550000000001
1016	5.2469	3.8507	3.8507
1017	0.0	0.0	0.0
1018	3.8315	6.2819	6.2819
1019	4.2132	3.03665	3.03665
1020	3.6430499999999997	3.0817	3.0817
1021	3.8315	6.2819	6.2819
1022	0.0	0.0	0.0
1023	4.2728	3.0002	3.0002
1024	2.58165	3.9099	3.9099
1025	0.0	0.0	0.0
1026	5.2848	4.4765	4.4765
1027	0.0	0.0	0.0
1028	6.2692	1.4918	1.4918
1029	3.1353	1.7416	1.7416
1030	6.2429	1.4704	1.4704
1031	3.8891	3.66465	3.66465
1032	6.2212	5.9748	5.9748
1033	2.7750000000000004	2.5022	2.5022
1034	3.9239	3.3107	3.3107
1035	2.90095	2.6162	2.6162
1036	2.5612	2.6847	2.6847
1037	3.2031	3.41805	3.41805
1038	0.0	0.0	0.0
1039	5.3599	3.8279	3.8279
1040	5.591	5.4519	5.4519
1041	0.0	0.0	0.0
1042	3.4026	2.9078	2.9078
1043	3.92325	3.9852	3.9852
1044	3.4144	2.9584	2.9584
1045	2.4968	2.6603	2.6603
1046	3.4144	2.9584	2.9584
1047	6.0041	2.2491	2.2491
1048	4.79	3.8324	3.8324
1049	0.0	0.0	0.0
1050	4.8936	4.0487	4.0487
1051	2.8022	2.9077	2.9077
1052	6.4922	4.329	4.329
1053	4.8534	3.5819	3.5819
1054	4.3418	5.1263000000000005	5.1263000000000005
1055	3.9124	2.5012	2.5012
1056	4.1383	2.0659	2.0659
1057	0.0	0.0	0.0
1058	5.5893	3.9225	3.9225
1059	3.77395	3.2282	3.2282
1060	4.7708	3.8345	3.8345
1061	0.0	0.0	0.0
1062	2.71685	3.3928	3.3928
1063	3.9785	3.3905000000000003	3.3905000000000003
1064	4.5578	3.8978	3.8978
1065	4.5623	4.13955	4.13955
1066	3.7489	3.3697	3.3697
1067	4.4709	4.6194	4.6194
1068	3.8773	3.5249	3.5249
1069	3.59345	5.225300000000001	5.225300000000001
1070	0.0	0.0	0.0
1071	4.84675	3.4219	3.4219
