star	x	y
609	682.9	241.94
610	921.9	20.49
611	137.5	420.13
612	185.12	764.53
613	48.56	521.09
614	372.92	69.46
615	350.29	546.81
616	463.66	778.99
617	233.87	969.27
618	516.7	57.11
619	695.99	557.08
620	568.0	230.34
621	572.54	329.06
622	233.92	969.22
623	350.22	546.63
624	230.28	391.96
625	350.68	546.6
626	214.57	790.44
627	713.27	531.72
628	704.8	883.26
629	488.92	661.4
630	342.49	864.0
631	704.7	883.26
632	896.6	109.48
633	26.05	327.76
634	206.66	465.01
635	839.46	558.9
636	341.61	442.47
637	158.68	637.49
638	636.06	294.99
639	589.72	126.94
640	317.39	843.21
641	770.66	286.9
642	317.41	843.1
643	202.82	469.18
644	932.67	914.47
645	191.79	357.96
646	486.01	115.76
647	932.4	914.47
648	747.73	639.93
649	495.61	348.46
650	113.66	754.94
651	134.24	904.37
652	894.95	869.43
653	776.64	125.03
654	804.92	470.66
655	17.05	701.69
656	161.09	552.4
657	829.55	489.89
658	17.05	701.69
659	178.09	966.51
660	973.0	884.26
661	315.18	751.35
662	741.02	83.7
663	315.1	751.51
664	249.53	304.56
665	786.15	347.42
666	314.93	751.79
667	866.67	766.95
668	154.24	749.36
669	866.5	766.82
670	639.52	631.51
671	470.92	1008.4
672	872.2	905.13
673	139.61	176.56
674	21.12	497.58
675	463.45	536.4
676	292.09	875.96
677	522.99	361.98
678	194.98	726.75
679	872.32	905.12
680	182.61	141.49
681	433.3	488.1
682	553.76	131.07
683	731.8	632.75
684	271.07	415.96
685	756.56	511.06
686	134.06	797.94
687	264.88	404.38
688	134.06	797.94
689	134.15	903.91
690	94.27	410.63
691	829.33	442.68
692	540.95	755.36
693	601.49	778.95
694	539.04	674.5
695	829.6	442.44
696	501.45	830.48
697	415.55	133.02
698	876.48	673.5
699	175.55	787.49
700	382.27	1010.02
701	383.72	702.94
702	930.23	839.99
703	379.46	636.52
704	94.67	410.47
705	732.5	938.42
706	184.07	821.48
707	551.0	232.09
708	718.4	508.08
709	275.1	828.5
710	728.06	381.01
711	786.17	25.52
712	592.58	428.66
713	999.95	922.47
714	549.34	921.81
715	993.01	1001.64
716	592.53	428.78
717	540.52	509.95
718	879.97	184.96
719	450.75	549.6
720	386.53	395.12
721	229.58	323.0
722	295.28	529.14
723	113.05	848.36
724	185.21	207.26
725	295.27	529.14
726	338.46	757.56
727	627.35	759.88
728	863.97	511.64
729	67.17	696.23
730	592.28	428.75
731	1003.39	720.45
732	796.45	555.32
733	233.96	604.51
734	358.33	847.96
735	450.49	549.5
736	787.01	486.98
737	519.0	404.98
738	72.58	59.06
739	282.03	60.61
740	592.16	428.66
741	429.47	617.98
742	639.59	391.15
743	796.27	555.09
744	596.57	872.58
745	700.03	19.02
746	740.75	381.12
747	142.45	781.95
748	396.08	267.07
749	258.69	434.47
750	113.0	848.42
751	797.94	817.23
752	596.78	872.79
753	550.81	897.22
754	867.32	424.06
755	539.05	842.67
756	942.04	82.37
757	24.47	22.57
758	942.04	82.37
759	549.22	921.02
760	142.81	781.95
761	538.97	842.78
762	872.01	135.97
763	587.92	718.8
764	870.98	592.04
765	550.98	897.45
766	582.31	692.0
767	924.73	522.85
768	541.07	528.5
769	215.43	194.87
770	79.44	612.85
771	362.34	20.03
772	94.84	305.23
773	897.26	541.11
774	490.99	612.25
775	573.13	788.27
776	482.16	679.72
777	199.97	506.51
778	43.12	823.23
779	643.33	202.87
780	183.08	994.91
781	207.22	899.14
782	308.06	233.36
783	16.09	856.35
784	992.09	76.27
785	146.64	79.1
786	217.09	924.64
787	643.09	202.99
788	99.63	469.64
789	765.65	372.99
790	596.5	768.35
791	512.45	700.46
792	760.95	824.54
793	381.07	130.36
794	497.01	854.61
795	746.02	124.73
796	633.86	971.75
797	905.51	342.21
798	349.08	176.54
799	998.01	898.63
800	715.45	584.13
801	345.63	257.2
802	439.5	692.51
803	682.54	683.03
804	437.27	475.89
805	158.58	457.91
806	458.59	615.9
807	267.39	572.33
808	179.69	41.56
809	369.15	992.23
810	267.25	572.47
811	804.35	390.03
812	140.59	502.96
813	763.47	310.6
814	837.95	949.36
815	63.39	353.99
816	148.87	213.75
817	617.84	52.39
818	596.23	736.13
819	617.02	623.92
820	715.74	584.15
821	769.98	16.36
822	84.13	15.71
823	391.24	53.61
824	244.53	185.17
825	700.9	234.46
826	127.59	603.98
827	271.54	159.07
828	400.57	404.07
829	249.39	650.77
830	565.49	615.88
831	401.52	610.88
832	339.09	641.32
833	395.49	904.53
834	127.59	603.98
835	795.5	691.51
836	330.44	395.45
837	205.08	126.33
838	662.06	279.72
839	899.68	797.97
840	231.7	696.66
841	736.32	242.97
842	673.53	809.55
843	206.99	899.27
844	249.5	650.82
845	825.4	770.88
846	836.1	876.76
847	754.03	616.29
848	746.4	153.24
849	836.11	876.64
850	505.55	564.96
851	460.98	861.25
852	566.85	204.77
853	836.03	876.65
854	566.84	204.88
855	812.59	254.18
856	84.21	15.83
857	812.91	254.33
858	194.59	153.63
859	437.37	476.03
860	754.03	616.09
861	437.37	476.03
862	151.89	952.94
863	545.51	716.93
864	951.82	77.65
865	231.46	696.91
866	401.6	610.84
867	804.41	389.6
868	882.19	778.82
869	201.23	310.66
870	561.17	569.46
871	156.59	516.92
872	369.69	859.98
873	923.97	747.27
874	804.38	389.51
875	1000.05	513.32
876	178.8	166.17
877	493.4	251.2
878	573.04	908.65
879	619.56	702.55
880	313.06	105.47
881	374.05	229.96
882	711.67	196.06
883	746.48	153.44
884	113.11	288.7
885	275.58	554.41
886	712.95	422.03
887	615.1	35.35
888	350.5	769.48
889	474.92	657.91
890	356.76	405.92
891	315.07	836.95
892	219.48	695.0
893	312.98	105.37
894	827.22	836.09
895	43.44	496.21
896	542.3	401.92
897	712.53	558.56
898	320.1	579.79
899	38.33	49.15
900	271.79	119.07
901	605.06	615.29
902	276.57	324.94
903	313.07	105.37
904	605.04	273.47
905	609.68	204.01
906	152.0	952.41
907	184.71	888.99
908	286.16	697.59
909	121.52	615.5
910	715.99	244.96
911	219.6	695.01
912	745.06	167.06
913	600.85	1001.78
914	43.49	496.41
915	288.23	530.46
916	851.57	46.18
917	369.54	991.74
918	219.84	695.0
919	599.67	53.03
920	74.85	526.64
921	415.78	84.41
922	817.63	393.67
923	308.54	542.86
924	702.2	258.21
925	320.1	579.98
926	817.73	393.7
927	521.57	332.13
928	144.67	138.12
929	345.09	216.68
930	126.25	598.06
931	201.0	310.58
932	369.55	991.54
933	316.58	410.09
934	713.71	472.02
935	286.41	697.02
936	201.0	310.68
937	462.63	753.5
938	323.95	415.58
939	918.28	697.03
940	489.74	155.14
941	324.0	415.49
942	492.62	794.43
943	420.29	239.98
944	506.33	781.99
945	616.53	559.63
946	33.77	164.97
947	859.3	649.02
948	239.1	456.56
949	415.98	84.84
950	184.04	778.27
951	236.17	464.77
952	390.27	65.76
953	308.6	814.92
954	762.5	449.85
955	232.07	383.97
956	397.95	303.19
957	41.16	579.67
958	553.6	654.04
959	41.12	579.91
960	661.19	612.2
961	755.02	390.31
962	123.25	807.09
963	422.01	780.93
964	317.32	242.91
965	487.04	344.91
966	949.68	858.99
967	643.34	482.06
968	895.47	378.98
969	742.52	923.49
970	115.46	477.17
971	694.51	265.06
972	359.03	579.97
973	725.65	629.71
974	945.99	779.0
975	376.04	575.0
976	201.15	102.03
977	126.38	597.97
978	102.56	444.45
979	321.51	490.56
980	224.55	428.98
981	613.24	874.81
982	102.56	444.45
983	385.3	474.79
984	566.22	26.08
985	430.57	348.49
986	266.95	825.52
987	430.57	348.49
988	539.67	952.89
989	232.27	383.96
990	141.92	335.29
991	430.57	348.49
992	266.94	825.54
993	126.16	598.0
994	615.53	900.54
995	563.26	804.23
996	615.53	900.55
997	622.82	169.42
998	513.72	244.01
999	476.06	902.89
1000	394.12	790.52
1001	1000.04	872.61
1002	144.07	986.95
1003	24.73	999.94
1004	215.77	412.03
1005	931.27	372.03
1006	554.05	654.4
1007	700.61	244.4
1008	28.4	558.94
1009	84.23	870.43
1010	557.49	526.11
1011	28.31	558.98
1012	234.32	159.9
1013	25.25	913.28
1014	660.79	423.49
1015	703.01	1005.31
1016	318.32	646.66
1017	111.12	71.73
1018	475.04	658.29
1019	563.68	804.06
1020	414.11	415.7
1021	475.04	658.29
1022	31.92	116.22
1023	563.78	804.13
1024	394.15	790.62
1025	994.23	391.74
1026	318.48	646.81
1027	25.53	913.1
1028	613.89	504.32
1029	591.28	457.74
1030	613.94	504.5
1031	852.0	900.42
1032	734.57	301.45
1033	254.94	925.22
1034	668.83	311.59
1035	450.69	864.48
1036	464.98	137.03
1037	345.05	196.35
1038	326.9	993.74
1039	574.19	921.0
1040	734.45	301.5
1041	326.9	993.74
1042	171.58	434.06
1043	881.07	883.61
1044	510.76	604.99
1045	357.05	306.39
1046	510.76	604.99
1047	456.52	551.5
1048	559.08	940.9
1049	58.31	280.88
1050	428.11	530.85
1051	364.35	749.0
1052	277.16	155.13
1053	821.3	348.78
1054	628.51	411.01
1055	293.09	673.91
1056	220.04	695.02
1057	232.16	983.06
1058	255.53	156.84
1059	319.34	628.9
1060	317.13	305.99
1061	340.31	62.05
1062	951.76	713.17
1063	197.12	277.07
1064	770.95	982.9
1065	908.01	761.26
1066	668.68	311.93
1067	628.72	410.99
1068	736.52	653.9
1069	634.65	818.92
1070	185.95	64.99
1071	661.96	200.01
1072	660.61	423.81
1073	495.08	657.25
1074	574.28	920.92
1075	845.24	918.8
1076	542.97	358.5
1077	16.39	902.76
1078	660.52	423.62
1079	81.04	892.64
1080	272.04	225.36
1081	861.67	108.86
1082	690.53	428.09
1083	255.86	156.68
1084	710.73	506.81
1085	749.95	716.93
1086	481.53	758.34
1087	469.54	23.81
1088	481.46	758.11
1089	559.51	940.42
1090	803.87	191.45
1091	337.82	747.83
1092	216.21	528.81
1093	255.93	156.56
1094	251.6	686.71
1095	460.04	572.71
1096	251.61	686.47
1097	658.5	712.84
1098	681.97	401.36
1099	460.04	572.93
1100	826.71	539.12
1101	586.97	999.94
1102	16.3	902.58
1103	655.74	563.98
1104	114.82	224.28
1105	37.03	288.97
1106	288.5	361.89
1107	542.97	358.39
1108	172.49	318.44
1109	481.3	758.35
1110	980.1	146.65
1111	596.3	530.11
1112	911.31	475.11
1113	447.54	471.11
1114	725.19	629.76
1115	347.07	436.46
1116	711.51	714.97
1117	544.74	594.91
1118	103.3	491.62
1119	407.34	758.97
1120	154.99	849.97
1121	151.18	596.52
1122	374.01	148.64
1123	553.59	470.33
1124	980.19	146.81
1125	880.93	386.05
1126	949.65	134.95
1127	715.35	797.06
1128	574.47	113.49
1129	902.72	226.3
1130	141.01	156.33
1131	491.06	598.98
1132	837.83	477.63
1133	720.59	269.41
1134	747.14	747.9
1135	698.18	65.84
1136	31.22	737.45
1137	196.27	586.14
1138	415.83	519.21
1139	1002.93	896.38
1140	832.55	397.19
1141	403.83	489.22
1142	554.46	585.53
1143	158.07	728.66
